Processed Iteration 50,episodic return 11.686207774166778, reward_pressure: 0.0
Processed Iteration 100,episodic return 156.1705954029297, reward_pressure: 0.0
Processed Iteration 150,episodic return 310.98226501519525, reward_pressure: 0.0
Processed Iteration 200,episodic return 356.68461595233185, reward_pressure: 0.0
Processed Iteration 250,episodic return 400.04458139989066, reward_pressure: 0.0
Processed Iteration 300,episodic return 445.7063485246956, reward_pressure: 0.0
Processed Iteration 350,episodic return 512.1289629126343, reward_pressure: 0.0
Processed Iteration 400,episodic return 738.8878199388643, reward_pressure: 0.0
Processed Iteration 450,episodic return 862.9085819012158, reward_pressure: 0.0
Processed Iteration 500,episodic return 947.684481420432, reward_pressure: 0.0
Processed Iteration 550,episodic return 825.5591663954946, reward_pressure: 0.0
Processed Iteration 600,episodic return 991.8377903434852, reward_pressure: 0.0
Processed Iteration 650,episodic return 1420.0210835943942, reward_pressure: 0.0
Processed Iteration 700,episodic return 1121.5210302988696, reward_pressure: 0.0
Processed Iteration 750,episodic return 1829.8763442335858, reward_pressure: 0.0
Processed Iteration 800,episodic return 2166.155896810981, reward_pressure: 0.0
Processed Iteration 850,episodic return 1848.1865734543605, reward_pressure: 0.0
Processed Iteration 900,episodic return 2075.5516536263954, reward_pressure: 0.0
Processed Iteration 950,episodic return 1818.792642493255, reward_pressure: 0.0
Processed Iteration 1000,episodic return 2224.9148525425207, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2216.6864218117994, reward_pressure: 0.0
Processed Iteration 1100,episodic return 2388.63859255868, reward_pressure: 0.0
Processed Iteration 1150,episodic return 2322.0724976588513, reward_pressure: 0.0
Processed Iteration 1200,episodic return 2004.6922679458212, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1570.7388479561664, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1710.328079318109, reward_pressure: 0.0
Processed Iteration 1350,episodic return 692.5758744199002, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1255.5714949860728, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1196.1146647651108, reward_pressure: 0.0
Processed Iteration 1500,episodic return 931.5481055946761, reward_pressure: 0.0
Processed Iteration 1550,episodic return 916.048808487622, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1827.2723727523328, reward_pressure: 0.0
Processed Iteration 1650,episodic return 2089.8878126120007, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1628.7052319990676, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1034.080509964956, reward_pressure: 0.0
Processed Iteration 1800,episodic return 860.1150874896588, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1769.7855468671069, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2075.0466730164135, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2128.3614844143194, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2055.6525789896077, reward_pressure: 0.0
