Processed Iteration 50,episodic return -110.2929843974033, reward_pressure: 0.0
Processed Iteration 100,episodic return 368.9178366148833, reward_pressure: 0.0
Processed Iteration 150,episodic return 702.7671871342966, reward_pressure: 0.0
Processed Iteration 200,episodic return 1050.6854696660757, reward_pressure: 0.0
Processed Iteration 250,episodic return 1201.4313794192587, reward_pressure: 0.0
Processed Iteration 300,episodic return 1426.9472702704297, reward_pressure: 0.0
Processed Iteration 350,episodic return 1704.2982907505555, reward_pressure: 0.0
Processed Iteration 400,episodic return 1943.5865706658205, reward_pressure: 0.0
Processed Iteration 450,episodic return 2096.7463342529586, reward_pressure: 0.0
Processed Iteration 500,episodic return 2269.323012122266, reward_pressure: 0.0
Processed Iteration 550,episodic return 2331.541681685776, reward_pressure: 0.0
Processed Iteration 600,episodic return 2524.1124625281554, reward_pressure: 0.0
Processed Iteration 650,episodic return 2571.032077262432, reward_pressure: 0.0
Processed Iteration 700,episodic return 2585.7017972716303, reward_pressure: 0.0
Processed Iteration 750,episodic return 2598.0104158421805, reward_pressure: 0.0
Processed Iteration 800,episodic return 2638.132709738651, reward_pressure: 0.0
Processed Iteration 850,episodic return 2705.309983830359, reward_pressure: 0.0
Processed Iteration 900,episodic return 2871.777837824927, reward_pressure: 0.0
Processed Iteration 950,episodic return 2923.830870510386, reward_pressure: 0.0
Processed Iteration 1000,episodic return 3178.409365444872, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2901.8286038222486, reward_pressure: 0.0
Processed Iteration 1100,episodic return 3086.504493954982, reward_pressure: 0.0
Processed Iteration 1150,episodic return 3130.8295173759943, reward_pressure: 0.0
Processed Iteration 1200,episodic return 3181.034685802208, reward_pressure: 0.0
Processed Iteration 1250,episodic return 3190.417912554725, reward_pressure: 0.0
Processed Iteration 1300,episodic return 3088.9521764798574, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3085.513699875963, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3285.7208320166783, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3209.3886276026246, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2952.20208644336, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3269.1039650919947, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3184.33295867334, reward_pressure: 0.0
Processed Iteration 1650,episodic return 3223.387078379725, reward_pressure: 0.0
Processed Iteration 1700,episodic return 3397.4052447629488, reward_pressure: 0.0
Processed Iteration 1750,episodic return 3233.888590790959, reward_pressure: 0.0
Processed Iteration 1800,episodic return 3178.239073958342, reward_pressure: 0.0
Processed Iteration 1850,episodic return 3196.81241929163, reward_pressure: 0.0
Processed Iteration 1900,episodic return 3159.2422281140252, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2963.7411147659677, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3141.1663180628407, reward_pressure: 0.0
