Processed Iteration 50,episodic return 79.18465765179506, reward_pressure: 0.0
Processed Iteration 100,episodic return 39.874412877714946, reward_pressure: 0.0
Processed Iteration 150,episodic return 34.646770029058494, reward_pressure: 0.0
Processed Iteration 200,episodic return 33.68112137417326, reward_pressure: 0.0
Processed Iteration 250,episodic return 34.444436099470266, reward_pressure: 0.0
Processed Iteration 300,episodic return 35.07214610792123, reward_pressure: 0.0
Processed Iteration 350,episodic return 34.81379222828377, reward_pressure: 0.0
Processed Iteration 400,episodic return 44.6417151144297, reward_pressure: 0.0
Processed Iteration 450,episodic return 37.95947988269718, reward_pressure: 0.0
Processed Iteration 500,episodic return 34.45495148801322, reward_pressure: 0.0
Processed Iteration 550,episodic return 35.316402583634414, reward_pressure: 0.0
Processed Iteration 600,episodic return 35.47367682044198, reward_pressure: 0.0
Processed Iteration 650,episodic return 35.32700322622175, reward_pressure: 0.0
Processed Iteration 700,episodic return 44.14491747313368, reward_pressure: 0.0
Processed Iteration 750,episodic return 55.159815166947055, reward_pressure: 0.0
Processed Iteration 800,episodic return 64.38851436255698, reward_pressure: 0.0
Processed Iteration 850,episodic return 70.1028482898692, reward_pressure: 0.0
Processed Iteration 900,episodic return 66.99103250274138, reward_pressure: 0.0
Processed Iteration 950,episodic return 69.7124909013006, reward_pressure: 0.0
Processed Iteration 1000,episodic return 69.2410337112712, reward_pressure: 0.0
Processed Iteration 1050,episodic return 68.8038843007052, reward_pressure: 0.0
Processed Iteration 1100,episodic return 64.93316433997184, reward_pressure: 0.0
Processed Iteration 1150,episodic return 60.21030798453064, reward_pressure: 0.0
Processed Iteration 1200,episodic return 81.31435711135995, reward_pressure: 0.0
Processed Iteration 1250,episodic return 122.79558308571812, reward_pressure: 0.0
Processed Iteration 1300,episodic return 152.7049921744504, reward_pressure: 0.0
Processed Iteration 1350,episodic return 184.9829707700615, reward_pressure: 0.0
Processed Iteration 1400,episodic return 201.0142563475008, reward_pressure: 0.0
Processed Iteration 1450,episodic return 216.47980500514987, reward_pressure: 0.0
Processed Iteration 1500,episodic return 228.17353642443223, reward_pressure: 0.0
Processed Iteration 1550,episodic return 226.34515474963518, reward_pressure: 0.0
Processed Iteration 1600,episodic return 220.3322483348308, reward_pressure: 0.0
Processed Iteration 1650,episodic return 207.8580612121994, reward_pressure: 0.0
Processed Iteration 1700,episodic return 195.30990371406043, reward_pressure: 0.0
Processed Iteration 1750,episodic return 202.65576539934096, reward_pressure: 0.0
Processed Iteration 1800,episodic return 215.51073465307047, reward_pressure: 0.0
Processed Iteration 1850,episodic return 233.3772816986996, reward_pressure: 0.0
Processed Iteration 1900,episodic return 204.07956385022098, reward_pressure: 0.0
Processed Iteration 1950,episodic return 217.20325700115663, reward_pressure: 0.0
Processed Iteration 2000,episodic return 218.5260060741987, reward_pressure: 0.0
