Processed Iteration 50,episodic return -210.9112449858575, reward_pressure: 0.0
Processed Iteration 100,episodic return 411.6730460944525, reward_pressure: 0.0
Processed Iteration 150,episodic return 1261.806125619988, reward_pressure: 0.0
Processed Iteration 200,episodic return 1884.1052656463396, reward_pressure: 0.0
Processed Iteration 250,episodic return 2832.1301632690156, reward_pressure: 0.0
Processed Iteration 300,episodic return 3515.06746398394, reward_pressure: 0.0
Processed Iteration 350,episodic return 3922.7199853820766, reward_pressure: 0.0
Processed Iteration 400,episodic return 3930.4784047471585, reward_pressure: 0.0
Processed Iteration 450,episodic return 4195.234213900551, reward_pressure: 0.0
Processed Iteration 500,episodic return 4365.403942266814, reward_pressure: 0.0
Processed Iteration 550,episodic return 4736.1489643957275, reward_pressure: 0.0
Processed Iteration 600,episodic return 4400.885876362513, reward_pressure: 0.0
Processed Iteration 650,episodic return 4478.537947548089, reward_pressure: 0.0
Processed Iteration 700,episodic return 4517.536373845523, reward_pressure: 0.0
Processed Iteration 750,episodic return 4441.746055090288, reward_pressure: 0.0
Processed Iteration 800,episodic return 3902.5144279968886, reward_pressure: 0.0
Processed Iteration 850,episodic return 4453.800398301454, reward_pressure: 0.0
Processed Iteration 900,episodic return 4445.169865861035, reward_pressure: 0.0
Processed Iteration 950,episodic return 4322.407781338442, reward_pressure: 0.0
Processed Iteration 1000,episodic return 4594.533891311629, reward_pressure: 0.0
Processed Iteration 1050,episodic return 4545.678772239191, reward_pressure: 0.0
Processed Iteration 1100,episodic return 4542.616587789106, reward_pressure: 0.0
Processed Iteration 1150,episodic return 4740.37297466785, reward_pressure: 0.0
Processed Iteration 1200,episodic return 4602.182264249789, reward_pressure: 0.0
Processed Iteration 1250,episodic return 4569.479519200668, reward_pressure: 0.0
Processed Iteration 1300,episodic return 4746.4690839064315, reward_pressure: 0.0
Processed Iteration 1350,episodic return 4670.5322906621905, reward_pressure: 0.0
Processed Iteration 1400,episodic return 4687.502999439314, reward_pressure: 0.0
Processed Iteration 1450,episodic return 4453.096174916385, reward_pressure: 0.0
Processed Iteration 1500,episodic return 4755.683769378485, reward_pressure: 0.0
Processed Iteration 1550,episodic return 4672.739363727569, reward_pressure: 0.0
Processed Iteration 1600,episodic return 4521.651887372074, reward_pressure: 0.0
Processed Iteration 1650,episodic return 4683.685986034914, reward_pressure: 0.0
Processed Iteration 1700,episodic return 4677.686849962891, reward_pressure: 0.0
Processed Iteration 1750,episodic return 4444.262975356454, reward_pressure: 0.0
Processed Iteration 1800,episodic return 4591.613811787562, reward_pressure: 0.0
Processed Iteration 1850,episodic return 4578.993660140981, reward_pressure: 0.0
Processed Iteration 1900,episodic return 4310.253827772562, reward_pressure: 0.0
Processed Iteration 1950,episodic return 4713.137265361552, reward_pressure: 0.0
Processed Iteration 2000,episodic return 4818.640492751818, reward_pressure: 0.0
