Processed Iteration 50,episodic return -1.8906971981091838, reward_pressure: 0.0
Processed Iteration 100,episodic return 2.243292036019461, reward_pressure: 0.0
Processed Iteration 150,episodic return 14.189081372224036, reward_pressure: 0.0
Processed Iteration 200,episodic return 69.97945495529544, reward_pressure: 0.0
Processed Iteration 250,episodic return 409.03183544696054, reward_pressure: 0.0
Processed Iteration 300,episodic return 468.432398962253, reward_pressure: 0.0
Processed Iteration 350,episodic return 519.7429805052388, reward_pressure: 0.0
Processed Iteration 400,episodic return 711.8187586437178, reward_pressure: 0.0
Processed Iteration 450,episodic return 922.9314338427946, reward_pressure: 0.0
Processed Iteration 500,episodic return 1187.8185959396405, reward_pressure: 0.0
Processed Iteration 550,episodic return 1210.777721733826, reward_pressure: 0.0
Processed Iteration 600,episodic return 1222.0739131230582, reward_pressure: 0.0
Processed Iteration 650,episodic return 1019.2299697660554, reward_pressure: 0.0
Processed Iteration 700,episodic return 1236.0290321961165, reward_pressure: 0.0
Processed Iteration 750,episodic return 1296.0650288922789, reward_pressure: 0.0
Processed Iteration 800,episodic return 1320.7824121297758, reward_pressure: 0.0
Processed Iteration 850,episodic return 1309.6606545230827, reward_pressure: 0.0
Processed Iteration 900,episodic return 1368.6151685826842, reward_pressure: 0.0
Processed Iteration 950,episodic return 1312.7572490397897, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1299.4662913508394, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1308.083320303429, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1240.7366487807249, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1434.3827975331917, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1481.4002067808515, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1463.7066071260547, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1394.7713948560765, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1415.7132704448893, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1363.515235908032, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1500.346562590141, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1564.7019816690458, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1601.6100170329391, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1612.0126823303171, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1606.0060537387428, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1667.9793492635972, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1506.4286104233292, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1815.892575652661, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1851.260881504248, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1921.848557756139, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1958.0384685256317, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2056.6074247897636, reward_pressure: 0.0
