Processed Iteration 50,episodic return 166.11867709912357, reward_pressure: 0.0
Processed Iteration 100,episodic return 337.44367777586194, reward_pressure: 0.0
Processed Iteration 150,episodic return 381.98113614792896, reward_pressure: 0.0
Processed Iteration 200,episodic return 407.98970770421204, reward_pressure: 0.0
Processed Iteration 250,episodic return 439.82675963483615, reward_pressure: 0.0
Processed Iteration 300,episodic return 465.9210480047604, reward_pressure: 0.0
Processed Iteration 350,episodic return 535.2187914292451, reward_pressure: 0.0
Processed Iteration 400,episodic return 666.6661418586742, reward_pressure: 0.0
Processed Iteration 450,episodic return 982.7829244258832, reward_pressure: 0.0
Processed Iteration 500,episodic return 1260.1787922225699, reward_pressure: 0.0
Processed Iteration 550,episodic return 1280.5448866627912, reward_pressure: 0.0
Processed Iteration 600,episodic return 1451.0879671133755, reward_pressure: 0.0
Processed Iteration 650,episodic return 1534.4867452964131, reward_pressure: 0.0
Processed Iteration 700,episodic return 1792.1783777158118, reward_pressure: 0.0
Processed Iteration 750,episodic return 1892.972297907757, reward_pressure: 0.0
Processed Iteration 800,episodic return 1788.6391780540587, reward_pressure: 0.0
Processed Iteration 850,episodic return 1715.5240911447142, reward_pressure: 0.0
Processed Iteration 900,episodic return 1635.4006305357273, reward_pressure: 0.0
Processed Iteration 950,episodic return 1931.4969505246806, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1747.166379292623, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2279.085731912725, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1858.9456760639441, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1875.200958035494, reward_pressure: 0.0
Processed Iteration 1200,episodic return 2042.566435270235, reward_pressure: 0.0
Processed Iteration 1250,episodic return 2157.7775327676854, reward_pressure: 0.0
Processed Iteration 1300,episodic return 2020.9303811058626, reward_pressure: 0.0
Processed Iteration 1350,episodic return 2016.5574616922231, reward_pressure: 0.0
Processed Iteration 1400,episodic return 2100.9063983290725, reward_pressure: 0.0
Processed Iteration 1450,episodic return 2024.6457872550957, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2180.528685619261, reward_pressure: 0.0
Processed Iteration 1550,episodic return 2173.728696147851, reward_pressure: 0.0
Processed Iteration 1600,episodic return 2311.77881386366, reward_pressure: 0.0
Processed Iteration 1650,episodic return 2054.5208587441307, reward_pressure: 0.0
Processed Iteration 1700,episodic return 2354.59916956087, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2345.4726430731635, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2091.6423784674585, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2280.534254002924, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2416.572161584593, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2389.163829712636, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2285.4066272674863, reward_pressure: 0.0
