Processed Iteration 50,episodic return 21.66, reward_pressure: 1.0
Processed Iteration 100,episodic return 65.64, reward_pressure: 0.9995999999999999
Processed Iteration 150,episodic return 156.32, reward_pressure: 1.0
Processed Iteration 200,episodic return 334.98, reward_pressure: 1.0
Processed Iteration 250,episodic return 2669.94, reward_pressure: 1.0
Processed Iteration 300,episodic return 5000.0, reward_pressure: 0.9915999999999989
Processed Iteration 350,episodic return 5000.0, reward_pressure: 0.9716000000000006
Processed Iteration 400,episodic return 5000.0, reward_pressure: 0.9515999999999997
Processed Iteration 450,episodic return 5000.0, reward_pressure: 0.9316000000000009
Processed Iteration 500,episodic return 5000.0, reward_pressure: 0.9115999999999996
