Processed Iteration 50,episodic return 84.17206357921916, reward_pressure: 0.0
Processed Iteration 100,episodic return 232.22285871880595, reward_pressure: 0.0
Processed Iteration 150,episodic return 311.62118506586006, reward_pressure: 0.0
Processed Iteration 200,episodic return 376.39086260098856, reward_pressure: 0.0
Processed Iteration 250,episodic return 427.1205121874166, reward_pressure: 0.0
Processed Iteration 300,episodic return 504.59263092197796, reward_pressure: 0.0
Processed Iteration 350,episodic return 510.42761365881313, reward_pressure: 0.0
Processed Iteration 400,episodic return 504.9683319378009, reward_pressure: 0.0
Processed Iteration 450,episodic return 495.6361884483411, reward_pressure: 0.0
Processed Iteration 500,episodic return 502.0493067000596, reward_pressure: 0.0
Processed Iteration 550,episodic return 536.4986335477647, reward_pressure: 0.0
Processed Iteration 600,episodic return 636.7968844453422, reward_pressure: 0.0
Processed Iteration 650,episodic return 725.3115469112835, reward_pressure: 0.0
Processed Iteration 700,episodic return 1038.583993262304, reward_pressure: 0.0
Processed Iteration 750,episodic return 994.9621382210427, reward_pressure: 0.0
Processed Iteration 800,episodic return 936.1497132242102, reward_pressure: 0.0
Processed Iteration 850,episodic return 1032.0624816299105, reward_pressure: 0.0
Processed Iteration 900,episodic return 1230.4974192447337, reward_pressure: 0.0
Processed Iteration 950,episodic return 1068.2216538342386, reward_pressure: 0.0
Processed Iteration 1000,episodic return 791.9334972799584, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1068.8879938849323, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1192.5006575766881, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1729.6757826480844, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1548.7081761811482, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1372.6852537205173, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1038.5469480239278, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1420.9390077386859, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1452.0717217332913, reward_pressure: 0.0
Processed Iteration 1450,episodic return 2061.754171391182, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1755.1003741891604, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1484.1954826180788, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1818.7079794128474, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1570.1248688854566, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1967.3268934978505, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1726.620323238365, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1618.1125637642074, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2192.141528191879, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1975.7573876071351, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2140.8193656582134, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1916.0427740278442, reward_pressure: 0.0
