Processed Iteration 50,episodic return -0.40207417380951216, reward_pressure: 0.0
Processed Iteration 100,episodic return -1.6715527829072174, reward_pressure: 0.0
Processed Iteration 150,episodic return -6.275449160395471, reward_pressure: 0.0
Processed Iteration 200,episodic return -8.555414707707355, reward_pressure: 0.0
Processed Iteration 250,episodic return -10.411452533940835, reward_pressure: 0.0
Processed Iteration 300,episodic return -14.124487486172086, reward_pressure: 0.0
Processed Iteration 350,episodic return -13.245695290024159, reward_pressure: 0.0
Processed Iteration 400,episodic return -13.667936450076079, reward_pressure: 0.0
Processed Iteration 450,episodic return -11.301516671201073, reward_pressure: 0.0
Processed Iteration 500,episodic return -10.615608572502651, reward_pressure: 0.0
Processed Iteration 550,episodic return -12.142266228708083, reward_pressure: 0.0
Processed Iteration 600,episodic return -12.728060152136488, reward_pressure: 0.0
Processed Iteration 650,episodic return -11.344441384203208, reward_pressure: 0.0
Processed Iteration 700,episodic return 1.4274814264019577, reward_pressure: 0.0
Processed Iteration 750,episodic return 48.736867714088014, reward_pressure: 0.0
Processed Iteration 800,episodic return 168.44136816165715, reward_pressure: 0.0
Processed Iteration 850,episodic return 330.7101206164261, reward_pressure: 0.0
Processed Iteration 900,episodic return 354.05400287017403, reward_pressure: 0.0
Processed Iteration 950,episodic return 415.21065398093305, reward_pressure: 0.0
Processed Iteration 1000,episodic return 450.6316512828365, reward_pressure: 0.0
Processed Iteration 1050,episodic return 436.3162983827007, reward_pressure: 0.0
Processed Iteration 1100,episodic return 721.4533876326736, reward_pressure: 0.0
Processed Iteration 1150,episodic return 722.5602738247649, reward_pressure: 0.0
Processed Iteration 1200,episodic return 931.6636608729873, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1188.1331613715356, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1118.3355928523563, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1369.7353963191374, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1295.6329564693044, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1428.2708995793378, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1631.338975033417, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1778.9633382375114, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1951.6170351735793, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1876.4077110049068, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1988.3705781138312, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2138.7323419304425, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2209.7917341797033, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2270.22973915826, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2463.1986414221024, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2495.5390728928423, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2608.367258025002, reward_pressure: 0.0
