Processed Iteration 50,episodic return 57.331155487856684, reward_pressure: 0.0
Processed Iteration 100,episodic return 60.979773286679446, reward_pressure: 0.0
Processed Iteration 150,episodic return 59.97979193803847, reward_pressure: 0.0
Processed Iteration 200,episodic return 57.29163015777319, reward_pressure: 0.0
Processed Iteration 250,episodic return 57.71433401704119, reward_pressure: 0.0
Processed Iteration 300,episodic return 46.86784468715854, reward_pressure: 0.0
Processed Iteration 350,episodic return 55.18647597005758, reward_pressure: 0.0
Processed Iteration 400,episodic return 49.16143071906263, reward_pressure: 0.0
Processed Iteration 450,episodic return 57.79069161409439, reward_pressure: 0.0
Processed Iteration 500,episodic return 66.64172446675866, reward_pressure: 0.0
Processed Iteration 550,episodic return 57.40730489918018, reward_pressure: 0.0
Processed Iteration 600,episodic return 53.87486685388911, reward_pressure: 0.0
Processed Iteration 650,episodic return 52.30054048171156, reward_pressure: 0.0
Processed Iteration 700,episodic return 50.74997211920566, reward_pressure: 0.0
Processed Iteration 750,episodic return 51.629551134696314, reward_pressure: 0.0
Processed Iteration 800,episodic return 52.077615588274554, reward_pressure: 0.0
Processed Iteration 850,episodic return 52.22301730332763, reward_pressure: 0.0
Processed Iteration 900,episodic return 53.25515818573306, reward_pressure: 0.0
Processed Iteration 950,episodic return 52.768952552135545, reward_pressure: 0.0
Processed Iteration 1000,episodic return 53.124341011042276, reward_pressure: 0.0
Processed Iteration 1050,episodic return 53.10427145457759, reward_pressure: 0.0
Processed Iteration 1100,episodic return 54.76496732498204, reward_pressure: 0.0
Processed Iteration 1150,episodic return 53.2607563563154, reward_pressure: 0.0
Processed Iteration 1200,episodic return 52.94043522444261, reward_pressure: 0.0
Processed Iteration 1250,episodic return 52.915862783558296, reward_pressure: 0.0
Processed Iteration 1300,episodic return 50.75554264345599, reward_pressure: 0.0
Processed Iteration 1350,episodic return 49.93479368108119, reward_pressure: 0.0
Processed Iteration 1400,episodic return 50.783156810608915, reward_pressure: 0.0
Processed Iteration 1450,episodic return 52.291217342836035, reward_pressure: 0.0
Processed Iteration 1500,episodic return 55.064176152277426, reward_pressure: 0.0
Processed Iteration 1550,episodic return 53.3077700498272, reward_pressure: 0.0
Processed Iteration 1600,episodic return 54.91175430010046, reward_pressure: 0.0
Processed Iteration 1650,episodic return 53.1304974749829, reward_pressure: 0.0
Processed Iteration 1700,episodic return 48.027760980358146, reward_pressure: 0.0
Processed Iteration 1750,episodic return 49.936534218089534, reward_pressure: 0.0
Processed Iteration 1800,episodic return 53.44203402387694, reward_pressure: 0.0
Processed Iteration 1850,episodic return 52.35621671141822, reward_pressure: 0.0
Processed Iteration 1900,episodic return 51.12758278565862, reward_pressure: 0.0
Processed Iteration 1950,episodic return 53.12556297756524, reward_pressure: 0.0
Processed Iteration 2000,episodic return 46.65780137574295, reward_pressure: 0.0
