Processed Iteration 50,episodic return -214.96914444210037, reward_pressure: 0.0
Processed Iteration 100,episodic return 107.22457676363291, reward_pressure: 0.0
Processed Iteration 150,episodic return 505.90357631568185, reward_pressure: 0.0
Processed Iteration 200,episodic return 732.731280407366, reward_pressure: 0.0
Processed Iteration 250,episodic return 957.5894920644113, reward_pressure: 0.0
Processed Iteration 300,episodic return 1142.20513453585, reward_pressure: 0.0
Processed Iteration 350,episodic return 1299.8975676793204, reward_pressure: 0.0
Processed Iteration 400,episodic return 1356.8269064123106, reward_pressure: 0.0
Processed Iteration 450,episodic return 1475.7637381920429, reward_pressure: 0.0
Processed Iteration 500,episodic return 1644.2639154551964, reward_pressure: 0.0
Processed Iteration 550,episodic return 1695.0766352576507, reward_pressure: 0.0
Processed Iteration 600,episodic return 1935.8021217378116, reward_pressure: 0.0
Processed Iteration 650,episodic return 2138.71149598937, reward_pressure: 0.0
Processed Iteration 700,episodic return 2334.71886912321, reward_pressure: 0.0
Processed Iteration 750,episodic return 2504.1997479328447, reward_pressure: 0.0
Processed Iteration 800,episodic return 2562.4363096499433, reward_pressure: 0.0
Processed Iteration 850,episodic return 2370.7136329266154, reward_pressure: 0.0
Processed Iteration 900,episodic return 2542.3832139325946, reward_pressure: 0.0
Processed Iteration 950,episodic return 2484.1584147799385, reward_pressure: 0.0
Processed Iteration 1000,episodic return 2599.4226455221346, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2453.9114257555243, reward_pressure: 0.0
Processed Iteration 1100,episodic return 2420.6382558368614, reward_pressure: 0.0
Processed Iteration 1150,episodic return 2471.4200732330437, reward_pressure: 0.0
Processed Iteration 1200,episodic return 2317.6346888352423, reward_pressure: 0.0
Processed Iteration 1250,episodic return 2552.267789291793, reward_pressure: 0.0
Processed Iteration 1300,episodic return 2482.4414124149857, reward_pressure: 0.0
Processed Iteration 1350,episodic return 2576.5125595965965, reward_pressure: 0.0
Processed Iteration 1400,episodic return 2560.597348844, reward_pressure: 0.0
Processed Iteration 1450,episodic return 2477.872083141199, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2671.73883507376, reward_pressure: 0.0
Processed Iteration 1550,episodic return 2672.908854682038, reward_pressure: 0.0
Processed Iteration 1600,episodic return 2691.380875407496, reward_pressure: 0.0
Processed Iteration 1650,episodic return 2616.704920044804, reward_pressure: 0.0
Processed Iteration 1700,episodic return 2665.7371638324403, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2646.7505277274295, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2686.1007871557335, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2671.598365612613, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2680.570161533343, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2631.9494572342232, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2664.8698617757973, reward_pressure: 0.0
