Processed Iteration 50,episodic return 87.98807043853355, reward_pressure: 0.0
Processed Iteration 100,episodic return 297.6420046667415, reward_pressure: 0.0
Processed Iteration 150,episodic return 346.1059529925239, reward_pressure: 0.0
Processed Iteration 200,episodic return 373.8833528873331, reward_pressure: 0.0
Processed Iteration 250,episodic return 430.237616837283, reward_pressure: 0.0
Processed Iteration 300,episodic return 437.7443534400188, reward_pressure: 0.0
Processed Iteration 350,episodic return 494.96064502935167, reward_pressure: 0.0
Processed Iteration 400,episodic return 1236.996815107432, reward_pressure: 0.0
Processed Iteration 450,episodic return 1685.1158169854546, reward_pressure: 0.0
Processed Iteration 500,episodic return 1673.7315138334086, reward_pressure: 0.0
Processed Iteration 550,episodic return 1593.4976274195842, reward_pressure: 0.0
Processed Iteration 600,episodic return 1558.4234523573853, reward_pressure: 0.0
Processed Iteration 650,episodic return 1595.8329014306642, reward_pressure: 0.0
Processed Iteration 700,episodic return 1598.0799756615952, reward_pressure: 0.0
Processed Iteration 750,episodic return 1518.1009451204168, reward_pressure: 0.0
Processed Iteration 800,episodic return 1607.0450563230884, reward_pressure: 0.0
Processed Iteration 850,episodic return 1650.498180325071, reward_pressure: 0.0
Processed Iteration 900,episodic return 1738.9394941564963, reward_pressure: 0.0
Processed Iteration 950,episodic return 1746.462372319743, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1639.7366556817237, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1685.474703944269, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1789.3374182689013, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1710.7279023812644, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1508.4925408951322, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1735.328745156247, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1371.6820615311071, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1746.7038255467137, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1673.4701909410996, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1449.5603464620303, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1432.1189265032933, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1461.6923636315557, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1419.1283997747876, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1352.0226391712304, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1281.7184929505363, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1386.0134234260634, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1417.2425554025183, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1194.2099504698456, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1301.8639414557467, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1182.4198373130937, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1410.6761288850344, reward_pressure: 0.0
