Processed Iteration 50,episodic return 3.404955644773993, reward_pressure: 0.0
Processed Iteration 100,episodic return -3.593527633722508, reward_pressure: 0.0
Processed Iteration 150,episodic return -3.7402755024355976, reward_pressure: 0.0
Processed Iteration 200,episodic return -6.987365577805552, reward_pressure: 0.0
Processed Iteration 250,episodic return -3.027983667492543, reward_pressure: 0.0
Processed Iteration 300,episodic return -1.9853435437012592, reward_pressure: 0.0
Processed Iteration 350,episodic return -3.2561597690562287, reward_pressure: 0.0
Processed Iteration 400,episodic return -6.467588380336304, reward_pressure: 0.0
Processed Iteration 450,episodic return -6.460057949643027, reward_pressure: 0.0
Processed Iteration 500,episodic return -7.968861435592983, reward_pressure: 0.0
Processed Iteration 550,episodic return -3.3503937625404405, reward_pressure: 0.0
Processed Iteration 600,episodic return -4.826570214151488, reward_pressure: 0.0
Processed Iteration 650,episodic return 0.33430675153421086, reward_pressure: 0.0
Processed Iteration 700,episodic return -3.120535098047171, reward_pressure: 0.0
Processed Iteration 750,episodic return -3.1686797145983614, reward_pressure: 0.0
Processed Iteration 800,episodic return -0.9146037487160377, reward_pressure: 0.0
Processed Iteration 850,episodic return 0.6992303327305736, reward_pressure: 0.0
Processed Iteration 900,episodic return -1.4060906159527844, reward_pressure: 0.0
Processed Iteration 950,episodic return -3.4818678619032517, reward_pressure: 0.0
Processed Iteration 1000,episodic return -4.667225290515622, reward_pressure: 0.0
Processed Iteration 1050,episodic return -6.7659086823922046, reward_pressure: 0.0
Processed Iteration 1100,episodic return -5.111767220785179, reward_pressure: 0.0
Processed Iteration 1150,episodic return -1.027928747824164, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1.0832121951047775, reward_pressure: 0.0
Processed Iteration 1250,episodic return 0.49987214165764543, reward_pressure: 0.0
Processed Iteration 1300,episodic return 12.206320625101814, reward_pressure: 0.0
Processed Iteration 1350,episodic return 42.56552358239535, reward_pressure: 0.0
Processed Iteration 1400,episodic return 117.29527821398449, reward_pressure: 0.0
Processed Iteration 1450,episodic return 213.4430426543348, reward_pressure: 0.0
Processed Iteration 1500,episodic return 280.3183950702815, reward_pressure: 0.0
Processed Iteration 1550,episodic return 480.25851482073745, reward_pressure: 0.0
Processed Iteration 1600,episodic return 474.7447422726238, reward_pressure: 0.0
Processed Iteration 1650,episodic return 586.7824325939284, reward_pressure: 0.0
Processed Iteration 1700,episodic return 702.6710550813006, reward_pressure: 0.0
Processed Iteration 1750,episodic return 857.7661316449332, reward_pressure: 0.0
Processed Iteration 1800,episodic return 870.603366372417, reward_pressure: 0.0
Processed Iteration 1850,episodic return 884.7744613046173, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1016.139425982874, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1006.7125745785878, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1003.8808732359985, reward_pressure: 0.0
