Processed Iteration 50,episodic return -2.412736658267662, reward_pressure: 0.0
Processed Iteration 100,episodic return -12.051911246194503, reward_pressure: 0.0
Processed Iteration 150,episodic return -3.934235121055447, reward_pressure: 0.0
Processed Iteration 200,episodic return -9.592476037801678, reward_pressure: 0.0
Processed Iteration 250,episodic return -7.296421293786933, reward_pressure: 0.0
Processed Iteration 300,episodic return -4.8532185851083, reward_pressure: 0.0
Processed Iteration 350,episodic return -4.121741736171948, reward_pressure: 0.0
Processed Iteration 400,episodic return -2.4868980289216736, reward_pressure: 0.0
Processed Iteration 450,episodic return 20.35205551216323, reward_pressure: 0.0
Processed Iteration 500,episodic return 342.073401890202, reward_pressure: 0.0
Processed Iteration 550,episodic return 593.6324384257517, reward_pressure: 0.0
Processed Iteration 600,episodic return 652.6930209385807, reward_pressure: 0.0
Processed Iteration 650,episodic return 782.5747868917284, reward_pressure: 0.0
Processed Iteration 700,episodic return 866.8028703703042, reward_pressure: 0.0
Processed Iteration 750,episodic return 1105.6741804468693, reward_pressure: 0.0
Processed Iteration 800,episodic return 1181.1416755430678, reward_pressure: 0.0
Processed Iteration 850,episodic return 1172.309929292941, reward_pressure: 0.0
Processed Iteration 900,episodic return 1214.9078016531296, reward_pressure: 0.0
Processed Iteration 950,episodic return 1114.6924102426237, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1235.2228268214967, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1186.8973369671946, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1270.4812116901405, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1210.997982349141, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1166.5309963979716, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1240.331799974299, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1323.2367420093674, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1256.179315137049, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1171.2291109942396, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1291.298170706408, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1337.9810117140953, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1300.6944842090188, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1248.7330222017451, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1308.89426003542, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1283.5725556909435, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1325.0707727401004, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1308.2511957278298, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1177.7259047764026, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1231.1164477197042, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1276.534486136994, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1307.1472333971724, reward_pressure: 0.0
