Processed Iteration 50,episodic return -256.90211325674954, reward_pressure: 0.0
Processed Iteration 100,episodic return 58.51291198092923, reward_pressure: 0.0
Processed Iteration 150,episodic return 505.4341181091241, reward_pressure: 0.0
Processed Iteration 200,episodic return 671.3255537565111, reward_pressure: 0.0
Processed Iteration 250,episodic return 735.514614346178, reward_pressure: 0.0
Processed Iteration 300,episodic return 808.7812064547787, reward_pressure: 0.0
Processed Iteration 350,episodic return 827.0793832758636, reward_pressure: 0.0
Processed Iteration 400,episodic return 856.4528729724966, reward_pressure: 0.0
Processed Iteration 450,episodic return 797.4789162589973, reward_pressure: 0.0
Processed Iteration 500,episodic return 940.3016704237106, reward_pressure: 0.0
Processed Iteration 550,episodic return 942.800661391997, reward_pressure: 0.0
Processed Iteration 600,episodic return 893.8472237738088, reward_pressure: 0.0
Processed Iteration 650,episodic return 908.7573352974373, reward_pressure: 0.0
Processed Iteration 700,episodic return 926.0148799252124, reward_pressure: 0.0
Processed Iteration 750,episodic return 904.1976484100751, reward_pressure: 0.0
Processed Iteration 800,episodic return 852.757126852552, reward_pressure: 0.0
Processed Iteration 850,episodic return 866.0353279738781, reward_pressure: 0.0
Processed Iteration 900,episodic return 908.0174870578412, reward_pressure: 0.0
Processed Iteration 950,episodic return 948.3654706337941, reward_pressure: 0.0
Processed Iteration 1000,episodic return 864.2311422304019, reward_pressure: 0.0
Processed Iteration 1050,episodic return 911.5671817430348, reward_pressure: 0.0
Processed Iteration 1100,episodic return 939.4984989612968, reward_pressure: 0.0
Processed Iteration 1150,episodic return 936.9777161011359, reward_pressure: 0.0
Processed Iteration 1200,episodic return 960.4164627265304, reward_pressure: 0.0
Processed Iteration 1250,episodic return 980.8102963657869, reward_pressure: 0.0
Processed Iteration 1300,episodic return 950.2412110195309, reward_pressure: 0.0
Processed Iteration 1350,episodic return 961.8996826042837, reward_pressure: 0.0
Processed Iteration 1400,episodic return 968.6686331741279, reward_pressure: 0.0
Processed Iteration 1450,episodic return 916.4455563841587, reward_pressure: 0.0
Processed Iteration 1500,episodic return 922.2409872964666, reward_pressure: 0.0
Processed Iteration 1550,episodic return 915.1147260626984, reward_pressure: 0.0
Processed Iteration 1600,episodic return 989.8034184614115, reward_pressure: 0.0
Processed Iteration 1650,episodic return 934.3651098198636, reward_pressure: 0.0
Processed Iteration 1700,episodic return 955.2117234905854, reward_pressure: 0.0
Processed Iteration 1750,episodic return 965.6042492867807, reward_pressure: 0.0
Processed Iteration 1800,episodic return 922.211327582853, reward_pressure: 0.0
Processed Iteration 1850,episodic return 914.111032193726, reward_pressure: 0.0
Processed Iteration 1900,episodic return 912.605542751846, reward_pressure: 0.0
Processed Iteration 1950,episodic return 929.7985154661493, reward_pressure: 0.0
Processed Iteration 2000,episodic return 994.05969065225, reward_pressure: 0.0
