Processed Iteration 50,episodic return -214.20046467358392, reward_pressure: 0.0
Processed Iteration 100,episodic return 440.1098789226506, reward_pressure: 0.0
Processed Iteration 150,episodic return 1468.6721993553097, reward_pressure: 0.0
Processed Iteration 200,episodic return 2225.8208452050276, reward_pressure: 0.0
Processed Iteration 250,episodic return 2514.4091722116705, reward_pressure: 0.0
Processed Iteration 300,episodic return 2543.4091860065323, reward_pressure: 0.0
Processed Iteration 350,episodic return 2694.649406674359, reward_pressure: 0.0
Processed Iteration 400,episodic return 2926.916281020656, reward_pressure: 0.0
Processed Iteration 450,episodic return 3024.2767608298414, reward_pressure: 0.0
Processed Iteration 500,episodic return 2955.5281045351644, reward_pressure: 0.0
Processed Iteration 550,episodic return 2998.724828115004, reward_pressure: 0.0
Processed Iteration 600,episodic return 3026.128548221045, reward_pressure: 0.0
Processed Iteration 650,episodic return 3004.1767458097547, reward_pressure: 0.0
Processed Iteration 700,episodic return 3037.6708543999907, reward_pressure: 0.0
Processed Iteration 750,episodic return 3162.7290435717277, reward_pressure: 0.0
Processed Iteration 800,episodic return 3268.605546572393, reward_pressure: 0.0
Processed Iteration 850,episodic return 3295.810241529304, reward_pressure: 0.0
Processed Iteration 900,episodic return 3295.3570682124187, reward_pressure: 0.0
Processed Iteration 950,episodic return 3340.708857560113, reward_pressure: 0.0
Processed Iteration 1000,episodic return 3417.948610933282, reward_pressure: 0.0
Processed Iteration 1050,episodic return 3479.0719317685243, reward_pressure: 0.0
Processed Iteration 1100,episodic return 3406.173350319314, reward_pressure: 0.0
Processed Iteration 1150,episodic return 3455.472762134398, reward_pressure: 0.0
Processed Iteration 1200,episodic return 3457.3979701238677, reward_pressure: 0.0
Processed Iteration 1250,episodic return 3434.7772559832733, reward_pressure: 0.0
Processed Iteration 1300,episodic return 3701.059034872238, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3602.3633017243055, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3655.7448967019927, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3591.1636606888324, reward_pressure: 0.0
Processed Iteration 1500,episodic return 3651.391033422962, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3664.616475016347, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3693.96640329053, reward_pressure: 0.0
Processed Iteration 1650,episodic return 3714.6882472064085, reward_pressure: 0.0
Processed Iteration 1700,episodic return 3719.2887573535477, reward_pressure: 0.0
Processed Iteration 1750,episodic return 3634.8991352555818, reward_pressure: 0.0
Processed Iteration 1800,episodic return 3604.7745114665904, reward_pressure: 0.0
Processed Iteration 1850,episodic return 3613.2842363782906, reward_pressure: 0.0
Processed Iteration 1900,episodic return 3723.1597807421535, reward_pressure: 0.0
Processed Iteration 1950,episodic return 3665.3876880397297, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3718.9183720007695, reward_pressure: 0.0
