Processed Iteration 50,episodic return 1.6434494870777334, reward_pressure: 0.0
Processed Iteration 100,episodic return 6.382548574014419, reward_pressure: 0.0
Processed Iteration 150,episodic return 3.090540433336891, reward_pressure: 0.0
Processed Iteration 200,episodic return 75.54198921691014, reward_pressure: 0.0
Processed Iteration 250,episodic return 315.9032692739796, reward_pressure: 0.0
Processed Iteration 300,episodic return 529.9375529409702, reward_pressure: 0.0
Processed Iteration 350,episodic return 647.6928152095884, reward_pressure: 0.0
Processed Iteration 400,episodic return 784.5109850571821, reward_pressure: 0.0
Processed Iteration 450,episodic return 984.8572373255311, reward_pressure: 0.0
Processed Iteration 500,episodic return 873.392208726019, reward_pressure: 0.0
Processed Iteration 550,episodic return 929.1965786267813, reward_pressure: 0.0
Processed Iteration 600,episodic return 985.9015842086195, reward_pressure: 0.0
Processed Iteration 650,episodic return 983.3559566441368, reward_pressure: 0.0
Processed Iteration 700,episodic return 1015.7667873013139, reward_pressure: 0.0
Processed Iteration 750,episodic return 1089.5360770003251, reward_pressure: 0.0
Processed Iteration 800,episodic return 1170.1540392032537, reward_pressure: 0.0
Processed Iteration 850,episodic return 1213.4590414632758, reward_pressure: 0.0
Processed Iteration 900,episodic return 1333.9744199525721, reward_pressure: 0.0
Processed Iteration 950,episodic return 1258.803178840163, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1277.2758140374929, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1232.1949153020294, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1317.2657382943223, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1268.7748284770003, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1346.154708995558, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1293.153244743115, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1336.4957239144703, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1416.9165393756434, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1418.2015687172936, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1493.9822992986342, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1416.5139262654372, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1459.6797338667361, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1444.155872331198, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1408.9208097231594, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1374.558368447682, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1350.5321416904678, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1243.1020845523155, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1381.3082613658044, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1300.8996129558377, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1285.854327707603, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1360.583766674511, reward_pressure: 0.0
