Processed Iteration 50,episodic return 49.349930665969026, reward_pressure: 0.0
Processed Iteration 100,episodic return 80.35649110174411, reward_pressure: 0.0
Processed Iteration 150,episodic return 137.5854001152383, reward_pressure: 0.0
Processed Iteration 200,episodic return 141.25857365620962, reward_pressure: 0.0
Processed Iteration 250,episodic return 118.89371991348065, reward_pressure: 0.0
Processed Iteration 300,episodic return 126.9454819487099, reward_pressure: 0.0
Processed Iteration 350,episodic return 137.9488670276075, reward_pressure: 0.0
Processed Iteration 400,episodic return 117.88637857250234, reward_pressure: 0.0
Processed Iteration 450,episodic return 110.83027517665576, reward_pressure: 0.0
Processed Iteration 500,episodic return 116.52581551439957, reward_pressure: 0.0
Processed Iteration 550,episodic return 131.6363128121573, reward_pressure: 0.0
Processed Iteration 600,episodic return 125.9345569164165, reward_pressure: 0.0
Processed Iteration 650,episodic return 129.02777753512163, reward_pressure: 0.0
Processed Iteration 700,episodic return 111.3532067524224, reward_pressure: 0.0
Processed Iteration 750,episodic return 121.46700477662205, reward_pressure: 0.0
Processed Iteration 800,episodic return 110.80365744868304, reward_pressure: 0.0
Processed Iteration 850,episodic return 103.50775479558897, reward_pressure: 0.0
Processed Iteration 900,episodic return 107.24991369483308, reward_pressure: 0.0
Processed Iteration 950,episodic return 101.65041060786928, reward_pressure: 0.0
Processed Iteration 1000,episodic return 106.90187620556144, reward_pressure: 0.0
Processed Iteration 1050,episodic return 117.45258805942343, reward_pressure: 0.0
Processed Iteration 1100,episodic return 104.03348612134418, reward_pressure: 0.0
Processed Iteration 1150,episodic return 99.56644881663539, reward_pressure: 0.0
Processed Iteration 1200,episodic return 92.24322584626474, reward_pressure: 0.0
Processed Iteration 1250,episodic return 90.34228291988109, reward_pressure: 0.0
Processed Iteration 1300,episodic return 98.01367648790543, reward_pressure: 0.0
Processed Iteration 1350,episodic return 103.3937849310229, reward_pressure: 0.0
Processed Iteration 1400,episodic return 114.21295529789255, reward_pressure: 0.0
Processed Iteration 1450,episodic return 115.96638807802441, reward_pressure: 0.0
Processed Iteration 1500,episodic return 118.91980857642811, reward_pressure: 0.0
Processed Iteration 1550,episodic return 104.09603167569996, reward_pressure: 0.0
Processed Iteration 1600,episodic return 88.7104641778597, reward_pressure: 0.0
Processed Iteration 1650,episodic return 105.57611637153022, reward_pressure: 0.0
Processed Iteration 1700,episodic return 88.76259139005342, reward_pressure: 0.0
Processed Iteration 1750,episodic return 100.89914071573085, reward_pressure: 0.0
Processed Iteration 1800,episodic return 88.98693912896232, reward_pressure: 0.0
Processed Iteration 1850,episodic return 99.39337381914103, reward_pressure: 0.0
Processed Iteration 1900,episodic return 76.17011039159665, reward_pressure: 0.0
Processed Iteration 1950,episodic return 74.45034326448993, reward_pressure: 0.0
Processed Iteration 2000,episodic return 85.41513531546077, reward_pressure: 0.0
