Processed Iteration 50,episodic return -118.36030285597299, reward_pressure: 0.0
Processed Iteration 100,episodic return 657.006406763516, reward_pressure: 0.0
Processed Iteration 150,episodic return 1285.876003556909, reward_pressure: 0.0
Processed Iteration 200,episodic return 2123.96548247139, reward_pressure: 0.0
Processed Iteration 250,episodic return 2430.9253362819004, reward_pressure: 0.0
Processed Iteration 300,episodic return 2854.0529570110934, reward_pressure: 0.0
Processed Iteration 350,episodic return 3026.252016573284, reward_pressure: 0.0
Processed Iteration 400,episodic return 3377.8173505208983, reward_pressure: 0.0
Processed Iteration 450,episodic return 3422.7375266568824, reward_pressure: 0.0
Processed Iteration 500,episodic return 3370.240039670106, reward_pressure: 0.0
Processed Iteration 550,episodic return 3571.2098955315882, reward_pressure: 0.0
Processed Iteration 600,episodic return 3587.2774037297763, reward_pressure: 0.0
Processed Iteration 650,episodic return 3508.914322153177, reward_pressure: 0.0
Processed Iteration 700,episodic return 3580.738961878852, reward_pressure: 0.0
Processed Iteration 750,episodic return 3745.2284908678116, reward_pressure: 0.0
Processed Iteration 800,episodic return 3688.675152012923, reward_pressure: 0.0
Processed Iteration 850,episodic return 3623.207860537778, reward_pressure: 0.0
Processed Iteration 900,episodic return 3650.8354300748615, reward_pressure: 0.0
Processed Iteration 950,episodic return 3735.9999129004736, reward_pressure: 0.0
Processed Iteration 1000,episodic return 3688.6978906771355, reward_pressure: 0.0
Processed Iteration 1050,episodic return 3646.865452591661, reward_pressure: 0.0
Processed Iteration 1100,episodic return 3659.5813417544273, reward_pressure: 0.0
Processed Iteration 1150,episodic return 3650.1551182288244, reward_pressure: 0.0
Processed Iteration 1200,episodic return 3440.2477468325123, reward_pressure: 0.0
Processed Iteration 1250,episodic return 3604.445141323772, reward_pressure: 0.0
Processed Iteration 1300,episodic return 3631.7802202028847, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3664.858303918878, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3606.3657997264463, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3678.9904130605305, reward_pressure: 0.0
Processed Iteration 1500,episodic return 3710.972244583347, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3503.737417555734, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3563.565977950688, reward_pressure: 0.0
Processed Iteration 1650,episodic return 3662.1031004611923, reward_pressure: 0.0
Processed Iteration 1700,episodic return 3640.1792800224184, reward_pressure: 0.0
Processed Iteration 1750,episodic return 3621.4828093523492, reward_pressure: 0.0
Processed Iteration 1800,episodic return 3476.2583359999453, reward_pressure: 0.0
Processed Iteration 1850,episodic return 3598.061475120938, reward_pressure: 0.0
Processed Iteration 1900,episodic return 3619.36012567008, reward_pressure: 0.0
Processed Iteration 1950,episodic return 3570.9562718251645, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3518.6459332202176, reward_pressure: 0.0
