Processed Iteration 50,episodic return 50.83637051593724, reward_pressure: 0.0
Processed Iteration 100,episodic return 259.7161268000231, reward_pressure: 0.0
Processed Iteration 150,episodic return 377.64398107722633, reward_pressure: 0.0
Processed Iteration 200,episodic return 412.2313605321446, reward_pressure: 0.0
Processed Iteration 250,episodic return 460.1592555946179, reward_pressure: 0.0
Processed Iteration 300,episodic return 900.8278972889128, reward_pressure: 0.0
Processed Iteration 350,episodic return 1436.350113024672, reward_pressure: 0.0
Processed Iteration 400,episodic return 1491.8926093560717, reward_pressure: 0.0
Processed Iteration 450,episodic return 1778.124624322215, reward_pressure: 0.0
Processed Iteration 500,episodic return 1562.5130159123246, reward_pressure: 0.0
Processed Iteration 550,episodic return 1800.9279168169642, reward_pressure: 0.0
Processed Iteration 600,episodic return 1557.069063245474, reward_pressure: 0.0
Processed Iteration 650,episodic return 1565.8482470272552, reward_pressure: 0.0
Processed Iteration 700,episodic return 1530.9924418296307, reward_pressure: 0.0
Processed Iteration 750,episodic return 1004.9309946118357, reward_pressure: 0.0
Processed Iteration 800,episodic return 1399.5167248234939, reward_pressure: 0.0
Processed Iteration 850,episodic return 1565.8473291725688, reward_pressure: 0.0
Processed Iteration 900,episodic return 1746.9809875363915, reward_pressure: 0.0
Processed Iteration 950,episodic return 1847.6340330051462, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1540.9015827437015, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1859.6445839235469, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1884.1723884870921, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1991.580955898299, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1752.575551001244, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1916.9458495682577, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1805.0281322607418, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1560.6810390065068, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1362.713633110089, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1020.9898800861571, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1146.757654738007, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1416.7174552116892, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1220.4783591753142, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1416.6527951751784, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1752.2988827912177, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1857.9798865317164, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1532.8919798376162, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1933.9104367768805, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1726.930603370645, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1890.9020069977494, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1719.8174017532833, reward_pressure: 0.0
