Processed Iteration 50,episodic return -89.2789391218344, reward_pressure: 0.0
Processed Iteration 100,episodic return 639.4349026235976, reward_pressure: 0.0
Processed Iteration 150,episodic return 754.6069640200786, reward_pressure: 0.0
Processed Iteration 200,episodic return 1067.446461846675, reward_pressure: 0.0
Processed Iteration 250,episodic return 1413.9814315140309, reward_pressure: 0.0
Processed Iteration 300,episodic return 1871.3600989752501, reward_pressure: 0.0
Processed Iteration 350,episodic return 1766.5324501075386, reward_pressure: 0.0
Processed Iteration 400,episodic return 1895.5157551128452, reward_pressure: 0.0
Processed Iteration 450,episodic return 1948.4002205695704, reward_pressure: 0.0
Processed Iteration 500,episodic return 1886.8721852293168, reward_pressure: 0.0
Processed Iteration 550,episodic return 1901.9251438739066, reward_pressure: 0.0
Processed Iteration 600,episodic return 1791.6234089713323, reward_pressure: 0.0
Processed Iteration 650,episodic return 1796.9610730598738, reward_pressure: 0.0
Processed Iteration 700,episodic return 1973.0498504430477, reward_pressure: 0.0
Processed Iteration 750,episodic return 1851.1760138130983, reward_pressure: 0.0
Processed Iteration 800,episodic return 1893.9131519615494, reward_pressure: 0.0
Processed Iteration 850,episodic return 1827.518309078535, reward_pressure: 0.0
Processed Iteration 900,episodic return 1846.2911036066048, reward_pressure: 0.0
Processed Iteration 950,episodic return 1794.983207693806, reward_pressure: 0.0
Processed Iteration 1000,episodic return 2095.6076697829426, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2012.7469722812832, reward_pressure: 0.0
Processed Iteration 1100,episodic return 2018.1815201199934, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1881.8041816911377, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1952.9445705226588, reward_pressure: 0.0
Processed Iteration 1250,episodic return 2050.198949727508, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1897.4845380289332, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1921.7127891166672, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1996.4235018943396, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1800.4475711763732, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1907.0273008845172, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1933.4513558703015, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1928.5016397310799, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1704.6194246976272, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1827.3252742475856, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1819.3270872188325, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1924.7955985919311, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1939.3709159696964, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1887.1103464921935, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1814.6532189134327, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1857.008416390904, reward_pressure: 0.0
