Processed Iteration 50,episodic return -1.6186078038630245, reward_pressure: 0.0
Processed Iteration 100,episodic return -2.6253537293134728, reward_pressure: 0.0
Processed Iteration 150,episodic return 1.9782158589010508, reward_pressure: 0.0
Processed Iteration 200,episodic return 19.622034360518906, reward_pressure: 0.0
Processed Iteration 250,episodic return 215.3647866381784, reward_pressure: 0.0
Processed Iteration 300,episodic return 454.88576009333644, reward_pressure: 0.0
Processed Iteration 350,episodic return 599.4462739529564, reward_pressure: 0.0
Processed Iteration 400,episodic return 996.5116717029791, reward_pressure: 0.0
Processed Iteration 450,episodic return 1164.2896559086867, reward_pressure: 0.0
Processed Iteration 500,episodic return 1319.2370140846322, reward_pressure: 0.0
Processed Iteration 550,episodic return 1346.0661575950173, reward_pressure: 0.0
Processed Iteration 600,episodic return 1383.1728971174289, reward_pressure: 0.0
Processed Iteration 650,episodic return 1452.3936902196092, reward_pressure: 0.0
Processed Iteration 700,episodic return 1359.4057102987579, reward_pressure: 0.0
Processed Iteration 750,episodic return 1352.4125910074008, reward_pressure: 0.0
Processed Iteration 800,episodic return 1429.156488222173, reward_pressure: 0.0
Processed Iteration 850,episodic return 1484.5063451262324, reward_pressure: 0.0
Processed Iteration 900,episodic return 1573.903611199538, reward_pressure: 0.0
Processed Iteration 950,episodic return 1435.939510166379, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1416.5359549722116, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1439.1582428157685, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1446.0273634670937, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1524.2569662767366, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1477.48548319139, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1521.3663513447775, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1472.4811765386405, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1414.0094690495885, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1466.9262325376758, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1456.913782371898, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1518.2518736961551, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1499.764870458946, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1462.4737340267984, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1593.182896203131, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1465.4474762521525, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1435.894518223666, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1441.0827346240483, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1448.2340194022672, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1632.7110359191126, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1574.6771379938136, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1493.7698569780061, reward_pressure: 0.0
