Processed Iteration 50,episodic return -174.1738803211164, reward_pressure: 0.0
Processed Iteration 100,episodic return 179.04020206029688, reward_pressure: 0.0
Processed Iteration 150,episodic return 516.1500928479, reward_pressure: 0.0
Processed Iteration 200,episodic return 771.0368375723305, reward_pressure: 0.0
Processed Iteration 250,episodic return 990.4146353323456, reward_pressure: 0.0
Processed Iteration 300,episodic return 1330.8730712154218, reward_pressure: 0.0
Processed Iteration 350,episodic return 1559.450864626622, reward_pressure: 0.0
Processed Iteration 400,episodic return 2021.4219537689235, reward_pressure: 0.0
Processed Iteration 450,episodic return 2089.13161511356, reward_pressure: 0.0
Processed Iteration 500,episodic return 2149.7910063200475, reward_pressure: 0.0
Processed Iteration 550,episodic return 2145.8636654560287, reward_pressure: 0.0
Processed Iteration 600,episodic return 2344.211452665149, reward_pressure: 0.0
Processed Iteration 650,episodic return 2388.389811951178, reward_pressure: 0.0
Processed Iteration 700,episodic return 2509.465030517098, reward_pressure: 0.0
Processed Iteration 750,episodic return 2528.1702656499087, reward_pressure: 0.0
Processed Iteration 800,episodic return 2620.1476312505856, reward_pressure: 0.0
Processed Iteration 850,episodic return 2658.42507510802, reward_pressure: 0.0
Processed Iteration 900,episodic return 2607.439334129042, reward_pressure: 0.0
Processed Iteration 950,episodic return 2603.5457112674508, reward_pressure: 0.0
Processed Iteration 1000,episodic return 2691.2206372840565, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2737.744551093795, reward_pressure: 0.0
Processed Iteration 1100,episodic return 2672.4011482787114, reward_pressure: 0.0
Processed Iteration 1150,episodic return 2624.1143695301394, reward_pressure: 0.0
Processed Iteration 1200,episodic return 2656.9541775536723, reward_pressure: 0.0
Processed Iteration 1250,episodic return 2651.995823823169, reward_pressure: 0.0
Processed Iteration 1300,episodic return 2660.0841808880186, reward_pressure: 0.0
Processed Iteration 1350,episodic return 2722.3428131272726, reward_pressure: 0.0
Processed Iteration 1400,episodic return 2660.181163720887, reward_pressure: 0.0
Processed Iteration 1450,episodic return 2784.891230487471, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2744.8667519181695, reward_pressure: 0.0
Processed Iteration 1550,episodic return 2827.654694085469, reward_pressure: 0.0
Processed Iteration 1600,episodic return 2796.0916602835805, reward_pressure: 0.0
Processed Iteration 1650,episodic return 2832.7851271089257, reward_pressure: 0.0
Processed Iteration 1700,episodic return 2717.6768016431156, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2709.101138444012, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2875.92161949185, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2788.29906008239, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2751.9518631517276, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2882.446952914545, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2746.5667266329915, reward_pressure: 0.0
