Processed Iteration 50,episodic return -1.0251812421226028, reward_pressure: 0.0
Processed Iteration 100,episodic return 7.23815958273804, reward_pressure: 0.0
Processed Iteration 150,episodic return 68.97434864659358, reward_pressure: 0.0
Processed Iteration 200,episodic return 402.75884329915584, reward_pressure: 0.0
Processed Iteration 250,episodic return 718.931802248952, reward_pressure: 0.0
Processed Iteration 300,episodic return 960.5331430286762, reward_pressure: 0.0
Processed Iteration 350,episodic return 1106.2509148995857, reward_pressure: 0.0
Processed Iteration 400,episodic return 1109.624267379594, reward_pressure: 0.0
Processed Iteration 450,episodic return 1154.3821398687437, reward_pressure: 0.0
Processed Iteration 500,episodic return 1334.354171651431, reward_pressure: 0.0
Processed Iteration 550,episodic return 1231.4501554328924, reward_pressure: 0.0
Processed Iteration 600,episodic return 1361.9876441575366, reward_pressure: 0.0
Processed Iteration 650,episodic return 1452.7954852226044, reward_pressure: 0.0
Processed Iteration 700,episodic return 1231.2526516897078, reward_pressure: 0.0
Processed Iteration 750,episodic return 1428.6164320295977, reward_pressure: 0.0
Processed Iteration 800,episodic return 1360.103817916761, reward_pressure: 0.0
Processed Iteration 850,episodic return 1390.8991640764705, reward_pressure: 0.0
Processed Iteration 900,episodic return 1459.8166554122895, reward_pressure: 0.0
Processed Iteration 950,episodic return 1438.7813373945435, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1405.5401553103418, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1294.8393532182838, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1358.7328995236958, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1308.093762055106, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1510.786620151587, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1481.5761847160572, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1340.970777578346, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1439.3458889907124, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1390.5659040353885, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1380.8549578743716, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1418.75796528791, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1462.565819097774, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1407.8131625493663, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1357.744974485079, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1285.6289287457032, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1409.6589880573329, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1358.2782171687793, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1413.6912313280766, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1412.8594449859143, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1361.7398789831195, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1408.3936057445646, reward_pressure: 0.0
