Processed Iteration 50,episodic return 2.1673882153339528, reward_pressure: 0.0
Processed Iteration 100,episodic return 0.9950301003583161, reward_pressure: 0.0
Processed Iteration 150,episodic return -1.5369500901513218, reward_pressure: 0.0
Processed Iteration 200,episodic return -2.0133703080834064, reward_pressure: 0.0
Processed Iteration 250,episodic return -2.080976334434816, reward_pressure: 0.0
Processed Iteration 300,episodic return -3.4469771518918084, reward_pressure: 0.0
Processed Iteration 350,episodic return -1.772702289639926, reward_pressure: 0.0
Processed Iteration 400,episodic return -4.545177684296101, reward_pressure: 0.0
Processed Iteration 450,episodic return -4.408008165639607, reward_pressure: 0.0
Processed Iteration 500,episodic return -4.160735889956042, reward_pressure: 0.0
Processed Iteration 550,episodic return -5.325686795303678, reward_pressure: 0.0
Processed Iteration 600,episodic return -4.774992833671877, reward_pressure: 0.0
Processed Iteration 650,episodic return -5.018523584956875, reward_pressure: 0.0
Processed Iteration 700,episodic return -4.965977028650439, reward_pressure: 0.0
Processed Iteration 750,episodic return -4.916756560260447, reward_pressure: 0.0
Processed Iteration 800,episodic return -5.203732876609285, reward_pressure: 0.0
Processed Iteration 850,episodic return -4.92946973303889, reward_pressure: 0.0
Processed Iteration 900,episodic return -5.029912449385438, reward_pressure: 0.0
Processed Iteration 950,episodic return -4.948818636655677, reward_pressure: 0.0
Processed Iteration 1000,episodic return -5.084796194358448, reward_pressure: 0.0
Processed Iteration 1050,episodic return -5.276771429393243, reward_pressure: 0.0
Processed Iteration 1100,episodic return -5.291429847760293, reward_pressure: 0.0
Processed Iteration 1150,episodic return -5.266557439669773, reward_pressure: 0.0
Processed Iteration 1200,episodic return -5.328465390593791, reward_pressure: 0.0
Processed Iteration 1250,episodic return -5.289660422977878, reward_pressure: 0.0
Processed Iteration 1300,episodic return -5.432612551805482, reward_pressure: 0.0
Processed Iteration 1350,episodic return -5.47866054361484, reward_pressure: 0.0
Processed Iteration 1400,episodic return -5.549668617520825, reward_pressure: 0.0
Processed Iteration 1450,episodic return -5.626255613706024, reward_pressure: 0.0
Processed Iteration 1500,episodic return -5.864362317088323, reward_pressure: 0.0
Processed Iteration 1550,episodic return -5.811337596355357, reward_pressure: 0.0
Processed Iteration 1600,episodic return -5.940217097465321, reward_pressure: 0.0
Processed Iteration 1650,episodic return -5.519647168043483, reward_pressure: 0.0
Processed Iteration 1700,episodic return -5.313097730120708, reward_pressure: 0.0
Processed Iteration 1750,episodic return -5.548342679210074, reward_pressure: 0.0
Processed Iteration 1800,episodic return -5.535522899270438, reward_pressure: 0.0
Processed Iteration 1850,episodic return -5.644367261321105, reward_pressure: 0.0
Processed Iteration 1900,episodic return -5.546104991594006, reward_pressure: 0.0
Processed Iteration 1950,episodic return -5.471597006284023, reward_pressure: 0.0
Processed Iteration 2000,episodic return -5.461104908859845, reward_pressure: 0.0
