Processed Iteration 50,episodic return 16.1, reward_pressure: 0.0
Processed Iteration 100,episodic return 57.76, reward_pressure: 0.0
Processed Iteration 150,episodic return 98.96, reward_pressure: 0.0
Processed Iteration 200,episodic return 102.5, reward_pressure: 0.0
Processed Iteration 250,episodic return 94.44, reward_pressure: 0.0
Processed Iteration 300,episodic return 110.88, reward_pressure: 0.0
Processed Iteration 350,episodic return 1903.22, reward_pressure: 0.0
Processed Iteration 400,episodic return 8525.76, reward_pressure: 0.0
Processed Iteration 450,episodic return 9770.92, reward_pressure: 0.0
Processed Iteration 500,episodic return 8951.1, reward_pressure: 0.0
Processed Iteration 550,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 600,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 650,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 700,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 8842.82, reward_pressure: 0.0
Processed Iteration 800,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 850,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 900,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 950,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 1000,episodic return 10000.0, reward_pressure: 0.0
