Processed Iteration 50,episodic return 151.65711631407578, reward_pressure: 1.0
Processed Iteration 100,episodic return 534.8051158392012, reward_pressure: 1.0
Processed Iteration 150,episodic return 976.4470255135072, reward_pressure: 1.0
Processed Iteration 200,episodic return 1015.1508062695546, reward_pressure: 0.9520000000000006
Processed Iteration 250,episodic return 1024.9056056207012, reward_pressure: 0.9019999999999991
Processed Iteration 300,episodic return 1044.9404352588274, reward_pressure: 0.9170000000000001
Processed Iteration 350,episodic return 1052.8049830406317, reward_pressure: 1.0
Processed Iteration 400,episodic return 1058.7287862946012, reward_pressure: 1.0
Processed Iteration 450,episodic return 1068.7864827052704, reward_pressure: 1.0
Processed Iteration 500,episodic return 1073.332242173654, reward_pressure: 0.9920000000000004
Processed Iteration 550,episodic return 1076.6903367783261, reward_pressure: 1.0
Processed Iteration 600,episodic return 1084.1112768547778, reward_pressure: 1.0
Processed Iteration 650,episodic return 1087.236725479623, reward_pressure: 1.0
Processed Iteration 700,episodic return 1093.2970795787696, reward_pressure: 1.0
Processed Iteration 750,episodic return 1093.6910346405443, reward_pressure: 0.981
Processed Iteration 800,episodic return 1093.6965447114274, reward_pressure: 0.9860000000000008
Processed Iteration 850,episodic return 1099.4662139289085, reward_pressure: 0.9359999999999994
Processed Iteration 900,episodic return 1096.5651441275884, reward_pressure: 0.9460000000000006
Processed Iteration 950,episodic return 1099.798007560778, reward_pressure: 0.9039999999999992
Processed Iteration 1000,episodic return 1103.1847240417787, reward_pressure: 0.8989999999999992
Processed Iteration 1050,episodic return 1101.2674227155921, reward_pressure: 0.9500000000000006
Processed Iteration 1100,episodic return 1099.758193020405, reward_pressure: 0.8999999999999991
Processed Iteration 1150,episodic return 1101.4550005156664, reward_pressure: 0.8500000000000008
Processed Iteration 1200,episodic return 1101.3971985520325, reward_pressure: 0.7999999999999997
Processed Iteration 1250,episodic return 1102.0025626030947, reward_pressure: 0.7499999999999999
Processed Iteration 1300,episodic return 1104.2528435975871, reward_pressure: 0.6999999999999997
Processed Iteration 1350,episodic return 1103.422907564086, reward_pressure: 0.6499999999999992
Processed Iteration 1400,episodic return 1102.8951798884461, reward_pressure: 0.6729999999999996
Processed Iteration 1450,episodic return 1101.4201798963509, reward_pressure: 0.6639999999999993
Processed Iteration 1500,episodic return 1105.264273115299, reward_pressure: 0.6350000000000002
Processed Iteration 1550,episodic return 1104.5305792593788, reward_pressure: 0.7440000000000002
Processed Iteration 1600,episodic return 1104.4753928884527, reward_pressure: 0.6939999999999994
Processed Iteration 1650,episodic return 1107.5123026478861, reward_pressure: 0.6849999999999996
Processed Iteration 1700,episodic return 1134.968562310974, reward_pressure: 0.9029999999999997
Processed Iteration 1750,episodic return 1184.3509035825734, reward_pressure: 1.0
Processed Iteration 1800,episodic return 1217.9058888328161, reward_pressure: 0.9960000000000002
Processed Iteration 1850,episodic return 1322.3454914774297, reward_pressure: 0.9940000000000001
Processed Iteration 1900,episodic return 1372.2904902261776, reward_pressure: 1.0
Processed Iteration 1950,episodic return 1328.726936519388, reward_pressure: 0.9600000000000005
Processed Iteration 2000,episodic return 1470.7010084008166, reward_pressure: 0.996
