Processed Iteration 50,episodic return -0.633976886422145, reward_pressure: 0.0
Processed Iteration 100,episodic return 4.0122866866354165, reward_pressure: 0.0
Processed Iteration 150,episodic return 17.033104875187075, reward_pressure: 0.0
Processed Iteration 200,episodic return 17.37341473897949, reward_pressure: 0.0
Processed Iteration 250,episodic return 471.70859836465416, reward_pressure: 0.0
Processed Iteration 300,episodic return 680.6727513076864, reward_pressure: 0.0
Processed Iteration 350,episodic return 757.4843635701078, reward_pressure: 0.0
Processed Iteration 400,episodic return 890.2569214909076, reward_pressure: 0.0
Processed Iteration 450,episodic return 950.7867948115063, reward_pressure: 0.0
Processed Iteration 500,episodic return 972.6980050392216, reward_pressure: 0.0
Processed Iteration 550,episodic return 921.8622778158622, reward_pressure: 0.0
Processed Iteration 600,episodic return 1229.3102725570864, reward_pressure: 0.0
Processed Iteration 650,episodic return 1258.4377404875968, reward_pressure: 0.0
Processed Iteration 700,episodic return 1403.8561072097643, reward_pressure: 0.0
Processed Iteration 750,episodic return 1356.381535935646, reward_pressure: 0.0
Processed Iteration 800,episodic return 1336.8043913271226, reward_pressure: 0.0
Processed Iteration 850,episodic return 1182.0404899908553, reward_pressure: 0.0
Processed Iteration 900,episodic return 1300.3635624680992, reward_pressure: 0.0
Processed Iteration 950,episodic return 1420.5743748608656, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1435.0961005842792, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1468.5278932601257, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1437.9554835120732, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1445.9728052392813, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1387.210334421283, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1553.1562054434364, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1474.3076963201963, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1347.5913051919752, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1479.259379386387, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1459.516304556424, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1411.5996872746684, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1396.264469831225, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1425.8120221162983, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1391.9260712294563, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1479.2262100358514, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1402.7976553070503, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1418.0547694506793, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1410.159113371086, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1424.8305148302434, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1335.8846347544438, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1522.4867621586654, reward_pressure: 0.0
