Processed Iteration 50,episodic return 16.86, reward_pressure: 1.0
Processed Iteration 100,episodic return 37.54, reward_pressure: 1.0
Processed Iteration 150,episodic return 74.0, reward_pressure: 1.0
Processed Iteration 200,episodic return 142.92, reward_pressure: 1.0
Processed Iteration 250,episodic return 428.98, reward_pressure: 1.0
Processed Iteration 300,episodic return 4246.94, reward_pressure: 1.0
Processed Iteration 350,episodic return 5000.0, reward_pressure: 1.0
Processed Iteration 400,episodic return 5000.0, reward_pressure: 1.0
Processed Iteration 450,episodic return 5000.0, reward_pressure: 1.0
Processed Iteration 500,episodic return 5000.0, reward_pressure: 1.0
