Processed Iteration 50,episodic return -161.5624871074486, reward_pressure: 0.0
Processed Iteration 100,episodic return 402.7953103613999, reward_pressure: 0.0
Processed Iteration 150,episodic return 1180.2966387250347, reward_pressure: 0.0
Processed Iteration 200,episodic return 1958.2784777745712, reward_pressure: 0.0
Processed Iteration 250,episodic return 2114.8739371626116, reward_pressure: 0.0
Processed Iteration 300,episodic return 2160.3134292259183, reward_pressure: 0.0
Processed Iteration 350,episodic return 2212.886659491184, reward_pressure: 0.0
Processed Iteration 400,episodic return 2294.7203074576896, reward_pressure: 0.0
Processed Iteration 450,episodic return 2205.349231448425, reward_pressure: 0.0
Processed Iteration 500,episodic return 2240.5947722339265, reward_pressure: 0.0
Processed Iteration 550,episodic return 2121.73113975343, reward_pressure: 0.0
Processed Iteration 600,episodic return 2332.383156981025, reward_pressure: 0.0
Processed Iteration 650,episodic return 2411.272786237537, reward_pressure: 0.0
Processed Iteration 700,episodic return 2507.3540935215115, reward_pressure: 0.0
Processed Iteration 750,episodic return 2571.033500135417, reward_pressure: 0.0
Processed Iteration 800,episodic return 2593.8102274870225, reward_pressure: 0.0
Processed Iteration 850,episodic return 2573.344293894097, reward_pressure: 0.0
Processed Iteration 900,episodic return 2588.2097938709762, reward_pressure: 0.0
Processed Iteration 950,episodic return 2572.5024323436373, reward_pressure: 0.0
Processed Iteration 1000,episodic return 2609.3778189079826, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2615.0411360182425, reward_pressure: 0.0
Processed Iteration 1100,episodic return 2622.380191561277, reward_pressure: 0.0
Processed Iteration 1150,episodic return 2654.9755349152524, reward_pressure: 0.0
Processed Iteration 1200,episodic return 2616.003673144339, reward_pressure: 0.0
Processed Iteration 1250,episodic return 2643.076147402893, reward_pressure: 0.0
Processed Iteration 1300,episodic return 2629.0222539137058, reward_pressure: 0.0
Processed Iteration 1350,episodic return 2564.984467055544, reward_pressure: 0.0
Processed Iteration 1400,episodic return 2599.758011453663, reward_pressure: 0.0
Processed Iteration 1450,episodic return 2656.81552327301, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2614.86144759488, reward_pressure: 0.0
Processed Iteration 1550,episodic return 2660.0613539443516, reward_pressure: 0.0
Processed Iteration 1600,episodic return 2650.5875938458094, reward_pressure: 0.0
Processed Iteration 1650,episodic return 2609.535786950847, reward_pressure: 0.0
Processed Iteration 1700,episodic return 2621.538137142929, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2645.465672636767, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2693.937585414262, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2677.0942808977065, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2705.0069508570427, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2719.8298440833382, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2787.160711827825, reward_pressure: 0.0
