Processed Iteration 50,episodic return -313.21271771192687, reward_pressure: 0.0
Processed Iteration 100,episodic return -1019.6136474124047, reward_pressure: 0.0
Processed Iteration 150,episodic return -1133.9064791556846, reward_pressure: 0.0
Processed Iteration 200,episodic return -1322.8766613590449, reward_pressure: 0.0
Processed Iteration 250,episodic return -1250.6083268307002, reward_pressure: 0.0
Processed Iteration 300,episodic return -1496.868758849324, reward_pressure: 0.0
Processed Iteration 350,episodic return -1504.6747092287524, reward_pressure: 0.0
Processed Iteration 400,episodic return -1191.8334217617871, reward_pressure: 0.0
Processed Iteration 450,episodic return -1233.239617288947, reward_pressure: 0.0
Processed Iteration 500,episodic return -1308.9829525603582, reward_pressure: 0.0
Processed Iteration 550,episodic return -1300.6154008357853, reward_pressure: 0.0
Processed Iteration 600,episodic return -1326.5327131258498, reward_pressure: 0.0
Processed Iteration 650,episodic return -1468.8469173036356, reward_pressure: 0.0
Processed Iteration 700,episodic return -1507.4442329083186, reward_pressure: 0.0
Processed Iteration 750,episodic return -1621.9409403513034, reward_pressure: 0.0
Processed Iteration 800,episodic return -1448.59382406608, reward_pressure: 0.0
Processed Iteration 850,episodic return -1643.1721065782292, reward_pressure: 0.0
Processed Iteration 900,episodic return -1514.7510570358688, reward_pressure: 0.0
Processed Iteration 950,episodic return -1453.4249867040696, reward_pressure: 0.0
Processed Iteration 1000,episodic return -1371.945248150795, reward_pressure: 0.0
Processed Iteration 1050,episodic return -1288.1288026156558, reward_pressure: 0.0
Processed Iteration 1100,episodic return -1191.5962332738095, reward_pressure: 0.0
Processed Iteration 1150,episodic return -1116.331290433032, reward_pressure: 0.0
Processed Iteration 1200,episodic return -1081.555539992797, reward_pressure: 0.0
Processed Iteration 1250,episodic return -867.7091555666527, reward_pressure: 0.0
Processed Iteration 1300,episodic return -773.6401015321026, reward_pressure: 0.0
Processed Iteration 1350,episodic return -708.9964789873839, reward_pressure: 0.0
Processed Iteration 1400,episodic return -642.9454321845095, reward_pressure: 0.0
Processed Iteration 1450,episodic return -590.9986766088128, reward_pressure: 0.0
Processed Iteration 1500,episodic return -271.91366130943567, reward_pressure: 0.0
Processed Iteration 1550,episodic return 347.43232936552477, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1276.9130864801912, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1640.5120604210138, reward_pressure: 0.0
Processed Iteration 1700,episodic return 2033.1082017669944, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2035.167374337823, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2038.6955140072794, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2074.439294456585, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2040.7484180914942, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2051.2467941829022, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2019.8901801949642, reward_pressure: 0.0
