Processed Iteration 50,episodic return 110.53435201022994, reward_pressure: 0.0
Processed Iteration 100,episodic return 119.34258503493315, reward_pressure: 0.0
Processed Iteration 150,episodic return 116.7961536924695, reward_pressure: 0.0
Processed Iteration 200,episodic return 113.66560470427845, reward_pressure: 0.0
Processed Iteration 250,episodic return 96.94185705863784, reward_pressure: 0.0
Processed Iteration 300,episodic return 98.02384572437921, reward_pressure: 0.0
Processed Iteration 350,episodic return 90.49354764054402, reward_pressure: 0.0
Processed Iteration 400,episodic return 100.33453670887515, reward_pressure: 0.0
Processed Iteration 450,episodic return 104.91320792508773, reward_pressure: 0.0
Processed Iteration 500,episodic return 143.79339358878013, reward_pressure: 0.0
Processed Iteration 550,episodic return 162.03596126957197, reward_pressure: 0.0
Processed Iteration 600,episodic return 191.07103793502097, reward_pressure: 0.0
Processed Iteration 650,episodic return 186.84895078473843, reward_pressure: 0.0
Processed Iteration 700,episodic return 131.14893256630222, reward_pressure: 0.0
Processed Iteration 750,episodic return 140.41860271588203, reward_pressure: 0.0
Processed Iteration 800,episodic return 161.08283511262545, reward_pressure: 0.0
Processed Iteration 850,episodic return 165.48931648179604, reward_pressure: 0.0
Processed Iteration 900,episodic return 187.36875785593912, reward_pressure: 0.0
Processed Iteration 950,episodic return 161.2022833701241, reward_pressure: 0.0
Processed Iteration 1000,episodic return 144.4959371862329, reward_pressure: 0.0
Processed Iteration 1050,episodic return 142.78170595147535, reward_pressure: 0.0
Processed Iteration 1100,episodic return 172.60508394748322, reward_pressure: 0.0
Processed Iteration 1150,episodic return 171.03249776301206, reward_pressure: 0.0
Processed Iteration 1200,episodic return 136.00309485782168, reward_pressure: 0.0
Processed Iteration 1250,episodic return 162.60049020013736, reward_pressure: 0.0
Processed Iteration 1300,episodic return 153.22219826836655, reward_pressure: 0.0
Processed Iteration 1350,episodic return 155.44583529839002, reward_pressure: 0.0
Processed Iteration 1400,episodic return 146.16125319258828, reward_pressure: 0.0
Processed Iteration 1450,episodic return 148.22277740383498, reward_pressure: 0.0
Processed Iteration 1500,episodic return 158.0542318646047, reward_pressure: 0.0
Processed Iteration 1550,episodic return 141.87868017133616, reward_pressure: 0.0
Processed Iteration 1600,episodic return 141.20988547505146, reward_pressure: 0.0
Processed Iteration 1650,episodic return 132.10885623097926, reward_pressure: 0.0
Processed Iteration 1700,episodic return 120.25327490474928, reward_pressure: 0.0
Processed Iteration 1750,episodic return 132.85793323222416, reward_pressure: 0.0
Processed Iteration 1800,episodic return 143.84909759113373, reward_pressure: 0.0
Processed Iteration 1850,episodic return 156.89882594394152, reward_pressure: 0.0
Processed Iteration 1900,episodic return 167.01847981797735, reward_pressure: 0.0
Processed Iteration 1950,episodic return 123.31333449889787, reward_pressure: 0.0
Processed Iteration 2000,episodic return 113.9979095232099, reward_pressure: 0.0
