Processed Iteration 50,episodic return 104.69223424647953, reward_pressure: 0.0
Processed Iteration 100,episodic return 123.9866486670101, reward_pressure: 0.0
Processed Iteration 150,episodic return 119.76128509280916, reward_pressure: 0.0
Processed Iteration 200,episodic return 122.8962431006246, reward_pressure: 0.0
Processed Iteration 250,episodic return 103.5724595694738, reward_pressure: 0.0
Processed Iteration 300,episodic return 97.4057130201271, reward_pressure: 0.0
Processed Iteration 350,episodic return 89.88266321275358, reward_pressure: 0.0
Processed Iteration 400,episodic return 70.96059902055524, reward_pressure: 0.0
Processed Iteration 450,episodic return 61.0653781651686, reward_pressure: 0.0
Processed Iteration 500,episodic return 47.68553921949952, reward_pressure: 0.0
Processed Iteration 550,episodic return 53.99751124883147, reward_pressure: 0.0
Processed Iteration 600,episodic return 48.042495721966496, reward_pressure: 0.0
Processed Iteration 650,episodic return 49.806174413091284, reward_pressure: 0.0
Processed Iteration 700,episodic return 50.244832776655265, reward_pressure: 0.0
Processed Iteration 750,episodic return 52.22983532895949, reward_pressure: 0.0
Processed Iteration 800,episodic return 53.71984110981023, reward_pressure: 0.0
Processed Iteration 850,episodic return 54.99783303450499, reward_pressure: 0.0
Processed Iteration 900,episodic return 53.31907244459977, reward_pressure: 0.0
Processed Iteration 950,episodic return 55.14863613963604, reward_pressure: 0.0
Processed Iteration 1000,episodic return 57.4011111908306, reward_pressure: 0.0
Processed Iteration 1050,episodic return 54.969337559675985, reward_pressure: 0.0
Processed Iteration 1100,episodic return 58.23315648235865, reward_pressure: 0.0
Processed Iteration 1150,episodic return 58.00742343698516, reward_pressure: 0.0
Processed Iteration 1200,episodic return 56.635899039974774, reward_pressure: 0.0
Processed Iteration 1250,episodic return 55.07198503160213, reward_pressure: 0.0
Processed Iteration 1300,episodic return 53.38069259216567, reward_pressure: 0.0
Processed Iteration 1350,episodic return 54.59909393193239, reward_pressure: 0.0
Processed Iteration 1400,episodic return 52.56563038474461, reward_pressure: 0.0
Processed Iteration 1450,episodic return 50.04832737899324, reward_pressure: 0.0
Processed Iteration 1500,episodic return 48.16748025598491, reward_pressure: 0.0
Processed Iteration 1550,episodic return 52.751830300436204, reward_pressure: 0.0
Processed Iteration 1600,episodic return 52.161652961678065, reward_pressure: 0.0
Processed Iteration 1650,episodic return 49.85688804129184, reward_pressure: 0.0
Processed Iteration 1700,episodic return 47.64727143689158, reward_pressure: 0.0
Processed Iteration 1750,episodic return 49.99802059868761, reward_pressure: 0.0
Processed Iteration 1800,episodic return 47.65574376713894, reward_pressure: 0.0
Processed Iteration 1850,episodic return 39.44856014399531, reward_pressure: 0.0
Processed Iteration 1900,episodic return 45.62114903046715, reward_pressure: 0.0
Processed Iteration 1950,episodic return 52.53743875438233, reward_pressure: 0.0
Processed Iteration 2000,episodic return 50.89096614293668, reward_pressure: 0.0
