Processed Iteration 50,episodic return 75.4359536220446, reward_pressure: 0.0
Processed Iteration 100,episodic return 210.70999710292526, reward_pressure: 0.0
Processed Iteration 150,episodic return 286.9430059537923, reward_pressure: 0.0
Processed Iteration 200,episodic return 329.3863823100535, reward_pressure: 0.0
Processed Iteration 250,episodic return 358.306885251831, reward_pressure: 0.0
Processed Iteration 300,episodic return 480.31263403454693, reward_pressure: 0.0
Processed Iteration 350,episodic return 530.1417022616457, reward_pressure: 0.0
Processed Iteration 400,episodic return 626.4478508836316, reward_pressure: 0.0
Processed Iteration 450,episodic return 758.2688735684532, reward_pressure: 0.0
Processed Iteration 500,episodic return 932.444521167606, reward_pressure: 0.0
Processed Iteration 550,episodic return 784.819564105093, reward_pressure: 0.0
Processed Iteration 600,episodic return 693.859867281252, reward_pressure: 0.0
Processed Iteration 650,episodic return 683.6315825480006, reward_pressure: 0.0
Processed Iteration 700,episodic return 649.9307404067207, reward_pressure: 0.0
Processed Iteration 750,episodic return 690.947929808093, reward_pressure: 0.0
Processed Iteration 800,episodic return 522.4184238755813, reward_pressure: 0.0
Processed Iteration 850,episodic return 862.2107664876804, reward_pressure: 0.0
Processed Iteration 900,episodic return 1160.5725597418766, reward_pressure: 0.0
Processed Iteration 950,episodic return 1601.5616618844142, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1531.2017794955939, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1583.6927478699745, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1503.4131294744773, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1492.4078254968401, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1612.4221127687085, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1539.637383104036, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1731.3146361968584, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1848.0385075026645, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1905.890236237385, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1853.8731496157661, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1759.1689999997127, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1603.902703576875, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1617.7623215873118, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1747.6816809910486, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1750.4523519144254, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1813.3732989424816, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1473.0131944400666, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1333.981349108475, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1274.4352605687984, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1245.5531538648547, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1187.4572139998643, reward_pressure: 0.0
Processed Iteration 2050,episodic return 1309.3198419439145, reward_pressure: 0.0
Processed Iteration 2100,episodic return 1195.2118757660096, reward_pressure: 0.0
Processed Iteration 2150,episodic return 1541.657031315323, reward_pressure: 0.0
Processed Iteration 2200,episodic return 1680.3165666841473, reward_pressure: 0.0
Processed Iteration 2250,episodic return 1654.515151028505, reward_pressure: 0.0
Processed Iteration 2300,episodic return 1646.5264818800854, reward_pressure: 0.0
Processed Iteration 2350,episodic return 1568.366540494278, reward_pressure: 0.0
Processed Iteration 2400,episodic return 1583.403898293861, reward_pressure: 0.0
Processed Iteration 2450,episodic return 967.1663399959576, reward_pressure: 0.0
Processed Iteration 2500,episodic return 1226.8214992733824, reward_pressure: 0.0
Processed Iteration 2550,episodic return 1699.5346837674806, reward_pressure: 0.0
Processed Iteration 2600,episodic return 1829.762507564983, reward_pressure: 0.0
Processed Iteration 2650,episodic return 1556.108547666193, reward_pressure: 0.0
Processed Iteration 2700,episodic return 664.0894438269866, reward_pressure: 0.0
Processed Iteration 2750,episodic return 746.0418981439542, reward_pressure: 0.0
Processed Iteration 2800,episodic return 813.6919103707887, reward_pressure: 0.0
Processed Iteration 2850,episodic return 582.7030383560483, reward_pressure: 0.0
Processed Iteration 2900,episodic return 1007.9303208139854, reward_pressure: 0.0
Processed Iteration 2950,episodic return 759.5155408305328, reward_pressure: 0.0
Processed Iteration 3000,episodic return 768.1442262070192, reward_pressure: 0.0
