Processed Iteration 50,episodic return -347.101764981158, reward_pressure: 0.0
Processed Iteration 100,episodic return -616.4113008206664, reward_pressure: 0.0
Processed Iteration 150,episodic return -991.8095612480699, reward_pressure: 0.0
Processed Iteration 200,episodic return -1244.984098282102, reward_pressure: 0.0
Processed Iteration 250,episodic return -1175.8017861465353, reward_pressure: 0.0
Processed Iteration 300,episodic return -1414.3046285845019, reward_pressure: 0.0
Processed Iteration 350,episodic return -1501.898855424722, reward_pressure: 0.0
Processed Iteration 400,episodic return -1444.2084751113553, reward_pressure: 0.0
Processed Iteration 450,episodic return -1281.9199310059125, reward_pressure: 0.0
Processed Iteration 500,episodic return -1259.3246425296609, reward_pressure: 0.0
Processed Iteration 550,episodic return -1290.3573952672918, reward_pressure: 0.0
Processed Iteration 600,episodic return -1251.4269044343837, reward_pressure: 0.0
Processed Iteration 650,episodic return -1212.4680809510228, reward_pressure: 0.0
Processed Iteration 700,episodic return -1176.349403992307, reward_pressure: 0.0
Processed Iteration 750,episodic return -1342.97927866881, reward_pressure: 0.0
Processed Iteration 800,episodic return -1359.034497720888, reward_pressure: 0.0
Processed Iteration 850,episodic return -1073.870674631003, reward_pressure: 0.0
Processed Iteration 900,episodic return -1229.4388276000425, reward_pressure: 0.0
Processed Iteration 950,episodic return -1265.1902894395955, reward_pressure: 0.0
Processed Iteration 1000,episodic return -1618.330477923006, reward_pressure: 0.0
Processed Iteration 1050,episodic return -1545.5791731001843, reward_pressure: 0.0
Processed Iteration 1100,episodic return -1209.5250493417332, reward_pressure: 0.0
Processed Iteration 1150,episodic return -1321.148499007838, reward_pressure: 0.0
Processed Iteration 1200,episodic return -1573.2663576384182, reward_pressure: 0.0
Processed Iteration 1250,episodic return -1589.0040644645403, reward_pressure: 0.0
Processed Iteration 1300,episodic return -1661.689523996184, reward_pressure: 0.0
Processed Iteration 1350,episodic return -1713.7902646012385, reward_pressure: 0.0
Processed Iteration 1400,episodic return -1764.2360711198414, reward_pressure: 0.0
Processed Iteration 1450,episodic return -1781.222378829566, reward_pressure: 0.0
Processed Iteration 1500,episodic return -1700.9413971988106, reward_pressure: 0.0
Processed Iteration 1550,episodic return -1683.2212150760904, reward_pressure: 0.0
Processed Iteration 1600,episodic return -1755.0275977043527, reward_pressure: 0.0
Processed Iteration 1650,episodic return -1607.0268406134458, reward_pressure: 0.0
Processed Iteration 1700,episodic return -1624.7961893190516, reward_pressure: 0.0
Processed Iteration 1750,episodic return -1535.3990570239787, reward_pressure: 0.0
Processed Iteration 1800,episodic return -1410.6080840175723, reward_pressure: 0.0
Processed Iteration 1850,episodic return -1405.9328162420145, reward_pressure: 0.0
Processed Iteration 1900,episodic return -1267.4589453584008, reward_pressure: 0.0
Processed Iteration 1950,episodic return -1449.043045176376, reward_pressure: 0.0
Processed Iteration 2000,episodic return -1400.0145635939243, reward_pressure: 0.0
