Processed Iteration 50,episodic return 68.31012825215073, reward_pressure: 0.0
Processed Iteration 100,episodic return 4.44042571157002, reward_pressure: 0.0
Processed Iteration 150,episodic return 4.822208953255504, reward_pressure: 0.0
Processed Iteration 200,episodic return 7.989117003653696, reward_pressure: 0.0
Processed Iteration 250,episodic return 6.59247453674675, reward_pressure: 0.0
Processed Iteration 300,episodic return 0.17562383550662883, reward_pressure: 0.0
Processed Iteration 350,episodic return 0.0984620431762459, reward_pressure: 0.0
Processed Iteration 400,episodic return 2.168156911148976, reward_pressure: 0.0
Processed Iteration 450,episodic return 2.25810896028934, reward_pressure: 0.0
Processed Iteration 500,episodic return 2.195391413412111, reward_pressure: 0.0
Processed Iteration 550,episodic return 3.3115668431293206, reward_pressure: 0.0
Processed Iteration 600,episodic return 3.7298270423371815, reward_pressure: 0.0
Processed Iteration 650,episodic return 3.440037908985362, reward_pressure: 0.0
Processed Iteration 700,episodic return 3.230216530059473, reward_pressure: 0.0
Processed Iteration 750,episodic return 88.05583446954894, reward_pressure: 0.0
Processed Iteration 800,episodic return 284.5598440294877, reward_pressure: 0.0
Processed Iteration 850,episodic return 342.1715286260485, reward_pressure: 0.0
Processed Iteration 900,episodic return 423.1241669220424, reward_pressure: 0.0
Processed Iteration 950,episodic return 522.8182042481192, reward_pressure: 0.0
Processed Iteration 1000,episodic return 604.8624143352631, reward_pressure: 0.0
Processed Iteration 1050,episodic return 672.6614978419422, reward_pressure: 0.0
Processed Iteration 1100,episodic return 580.7835761385863, reward_pressure: 0.0
Processed Iteration 1150,episodic return 863.5859567351351, reward_pressure: 0.0
Processed Iteration 1200,episodic return 996.5622053484784, reward_pressure: 0.0
Processed Iteration 1250,episodic return 965.2322485256383, reward_pressure: 0.0
Processed Iteration 1300,episodic return 708.7292086241256, reward_pressure: 0.0
Processed Iteration 1350,episodic return 802.1222202825114, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1036.9743276588333, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1700.6649502371376, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2017.4164476516382, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1606.8287066852367, reward_pressure: 0.0
Processed Iteration 1600,episodic return 2234.8698827100666, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1912.7304133269663, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1970.8205731026756, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1895.3600984841285, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2005.532638263081, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2293.803870358098, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2430.7403447045353, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2352.0149912560346, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2120.104745116324, reward_pressure: 0.0
Processed Iteration 2050,episodic return 2151.3869842446234, reward_pressure: 0.0
Processed Iteration 2100,episodic return 2162.632667223435, reward_pressure: 0.0
Processed Iteration 2150,episodic return 2216.0312496448296, reward_pressure: 0.0
Processed Iteration 2200,episodic return 2110.4567960353825, reward_pressure: 0.0
Processed Iteration 2250,episodic return 1917.7256663658843, reward_pressure: 0.0
Processed Iteration 2300,episodic return 2173.8471748431025, reward_pressure: 0.0
Processed Iteration 2350,episodic return 2174.87005798081, reward_pressure: 0.0
Processed Iteration 2400,episodic return 2247.1113785194884, reward_pressure: 0.0
Processed Iteration 2450,episodic return 1611.1525099821683, reward_pressure: 0.0
Processed Iteration 2500,episodic return 1000.4457244414283, reward_pressure: 0.0
Processed Iteration 2550,episodic return 1868.2014134081955, reward_pressure: 0.0
Processed Iteration 2600,episodic return 1767.067709650372, reward_pressure: 0.0
Processed Iteration 2650,episodic return 1589.6169990125597, reward_pressure: 0.0
Processed Iteration 2700,episodic return 1719.904109374192, reward_pressure: 0.0
Processed Iteration 2750,episodic return 2214.5518096965934, reward_pressure: 0.0
Processed Iteration 2800,episodic return 1954.6354501278554, reward_pressure: 0.0
Processed Iteration 2850,episodic return 1758.424310278568, reward_pressure: 0.0
Processed Iteration 2900,episodic return 2400.542049206632, reward_pressure: 0.0
Processed Iteration 2950,episodic return 2260.3443692376736, reward_pressure: 0.0
Processed Iteration 3000,episodic return 1971.587061768695, reward_pressure: 0.0
