Processed Iteration 50,episodic return -165.26665487403773, reward_pressure: 0.0
Processed Iteration 100,episodic return 648.6569888252195, reward_pressure: 0.0
Processed Iteration 150,episodic return 1219.6540376941423, reward_pressure: 0.0
Processed Iteration 200,episodic return 2401.268394006975, reward_pressure: 0.0
Processed Iteration 250,episodic return 2953.2968158600006, reward_pressure: 0.0
Processed Iteration 300,episodic return 2923.351578398789, reward_pressure: 0.0
Processed Iteration 350,episodic return 2906.9550113909736, reward_pressure: 0.0
Processed Iteration 400,episodic return 3144.6137526690045, reward_pressure: 0.0
Processed Iteration 450,episodic return 3104.9867089388013, reward_pressure: 0.0
Processed Iteration 500,episodic return 3168.0706895735652, reward_pressure: 0.0
Processed Iteration 550,episodic return 3103.2004586598327, reward_pressure: 0.0
Processed Iteration 600,episodic return 3504.22779107605, reward_pressure: 0.0
Processed Iteration 650,episodic return 3254.006120050411, reward_pressure: 0.0
Processed Iteration 700,episodic return 2614.321328032196, reward_pressure: 0.0
Processed Iteration 750,episodic return 3191.964885720019, reward_pressure: 0.0
Processed Iteration 800,episodic return 3662.609628462529, reward_pressure: 0.0
Processed Iteration 850,episodic return 3911.9684896844487, reward_pressure: 0.0
Processed Iteration 900,episodic return 3711.0584704112944, reward_pressure: 0.0
Processed Iteration 950,episodic return 3462.5093688104803, reward_pressure: 0.0
Processed Iteration 1000,episodic return 3706.907006865076, reward_pressure: 0.0
Processed Iteration 1050,episodic return 3913.7717910225488, reward_pressure: 0.0
Processed Iteration 1100,episodic return 3643.4682419524574, reward_pressure: 0.0
Processed Iteration 1150,episodic return 3936.328312126485, reward_pressure: 0.0
Processed Iteration 1200,episodic return 3734.921783349292, reward_pressure: 0.0
Processed Iteration 1250,episodic return 3728.1037489735822, reward_pressure: 0.0
Processed Iteration 1300,episodic return 3427.827934837458, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3416.2520122182054, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3629.3130753393743, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3457.375113901772, reward_pressure: 0.0
Processed Iteration 1500,episodic return 3844.4501067343804, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3870.9023989119014, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3251.9805036070798, reward_pressure: 0.0
Processed Iteration 1650,episodic return 3545.9004114802397, reward_pressure: 0.0
Processed Iteration 1700,episodic return 3437.342389219073, reward_pressure: 0.0
Processed Iteration 1750,episodic return 3864.413118195446, reward_pressure: 0.0
Processed Iteration 1800,episodic return 3905.2437757482085, reward_pressure: 0.0
Processed Iteration 1850,episodic return 4149.6529461378805, reward_pressure: 0.0
Processed Iteration 1900,episodic return 3803.2340210675534, reward_pressure: 0.0
Processed Iteration 1950,episodic return 4001.0275052709067, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3811.0500503917287, reward_pressure: 0.0
