Processed Iteration 50,episodic return 111.7657956241261, reward_pressure: 0.0
Processed Iteration 100,episodic return 266.4812982090477, reward_pressure: 0.0
Processed Iteration 150,episodic return 338.1690950800024, reward_pressure: 0.0
Processed Iteration 200,episodic return 345.95590267655905, reward_pressure: 0.0
Processed Iteration 250,episodic return 404.77190198752163, reward_pressure: 0.0
Processed Iteration 300,episodic return 604.5731927200607, reward_pressure: 0.0
Processed Iteration 350,episodic return 956.2688188456536, reward_pressure: 0.0
Processed Iteration 400,episodic return 1292.5684235043345, reward_pressure: 0.0
Processed Iteration 450,episodic return 1769.1039925117975, reward_pressure: 0.0
Processed Iteration 500,episodic return 1726.104693481979, reward_pressure: 0.0
Processed Iteration 550,episodic return 1925.7371151345642, reward_pressure: 0.0
Processed Iteration 600,episodic return 2092.2695408893574, reward_pressure: 0.0
Processed Iteration 650,episodic return 1862.3044212661814, reward_pressure: 0.0
Processed Iteration 700,episodic return 1463.6130776437521, reward_pressure: 0.0
Processed Iteration 750,episodic return 1841.912537126903, reward_pressure: 0.0
Processed Iteration 800,episodic return 1458.709825816821, reward_pressure: 0.0
Processed Iteration 850,episodic return 1742.17294590917, reward_pressure: 0.0
Processed Iteration 900,episodic return 1462.4946496881137, reward_pressure: 0.0
Processed Iteration 950,episodic return 961.0194927062834, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1072.6357330592214, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1132.0175789462387, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1035.3713400374734, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1066.2712027367086, reward_pressure: 0.0
Processed Iteration 1200,episodic return 866.5139262810995, reward_pressure: 0.0
Processed Iteration 1250,episodic return 824.2070143373505, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1806.5262981595245, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1443.3366824646664, reward_pressure: 0.0
Processed Iteration 1400,episodic return 686.2644722529184, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1180.3160281436585, reward_pressure: 0.0
Processed Iteration 1500,episodic return 637.2323834088268, reward_pressure: 0.0
Processed Iteration 1550,episodic return 834.0206725979269, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1400.5466035612671, reward_pressure: 0.0
Processed Iteration 1650,episodic return 727.2418571842495, reward_pressure: 0.0
Processed Iteration 1700,episodic return 767.3395411081265, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1238.5593691799183, reward_pressure: 0.0
Processed Iteration 1800,episodic return 868.35444769764, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1030.415234938576, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1269.2775409986536, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1459.6335369527962, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1638.2759787321297, reward_pressure: 0.0
Processed Iteration 2050,episodic return 1834.74634086696, reward_pressure: 0.0
Processed Iteration 2100,episodic return 1879.2261996790953, reward_pressure: 0.0
Processed Iteration 2150,episodic return 2061.1389047454136, reward_pressure: 0.0
Processed Iteration 2200,episodic return 1674.0756094175088, reward_pressure: 0.0
Processed Iteration 2250,episodic return 1912.6671773723087, reward_pressure: 0.0
Processed Iteration 2300,episodic return 2034.723736968412, reward_pressure: 0.0
Processed Iteration 2350,episodic return 1705.907488979878, reward_pressure: 0.0
Processed Iteration 2400,episodic return 1558.4562346893376, reward_pressure: 0.0
Processed Iteration 2450,episodic return 1285.8971576567312, reward_pressure: 0.0
Processed Iteration 2500,episodic return 1257.5537837296283, reward_pressure: 0.0
Processed Iteration 2550,episodic return 1453.6034539054008, reward_pressure: 0.0
Processed Iteration 2600,episodic return 1204.2447599627903, reward_pressure: 0.0
Processed Iteration 2650,episodic return 1851.3471656842758, reward_pressure: 0.0
Processed Iteration 2700,episodic return 1974.5211156534422, reward_pressure: 0.0
Processed Iteration 2750,episodic return 1815.768587325737, reward_pressure: 0.0
Processed Iteration 2800,episodic return 1906.3920559146316, reward_pressure: 0.0
Processed Iteration 2850,episodic return 1661.6232963555833, reward_pressure: 0.0
Processed Iteration 2900,episodic return 2008.6486444109996, reward_pressure: 0.0
Processed Iteration 2950,episodic return 1999.6015714341418, reward_pressure: 0.0
Processed Iteration 3000,episodic return 1913.7217590286093, reward_pressure: 0.0
