Processed Iteration 50,episodic return 17.74, reward_pressure: 1.0
Processed Iteration 100,episodic return 56.66, reward_pressure: 1.0
Processed Iteration 150,episodic return 223.46, reward_pressure: 1.0
Processed Iteration 200,episodic return 2316.64, reward_pressure: 1.0
Processed Iteration 250,episodic return 5000.0, reward_pressure: 0.983000000000001
Processed Iteration 300,episodic return 5000.0, reward_pressure: 0.9329999999999993
Processed Iteration 350,episodic return 5000.0, reward_pressure: 0.8830000000000001
Processed Iteration 400,episodic return 5000.0, reward_pressure: 0.8329999999999997
Processed Iteration 450,episodic return 5000.0, reward_pressure: 0.7830000000000003
Processed Iteration 500,episodic return 5000.0, reward_pressure: 0.7330000000000001
