Processed Iteration 50,episodic return 118.06797268159477, reward_pressure: 0.0
Processed Iteration 100,episodic return 282.3864311439297, reward_pressure: 0.0
Processed Iteration 150,episodic return 354.2360371370487, reward_pressure: 0.0
Processed Iteration 200,episodic return 368.8371201778945, reward_pressure: 0.0
Processed Iteration 250,episodic return 481.1793920504333, reward_pressure: 0.0
Processed Iteration 300,episodic return 722.5870881984869, reward_pressure: 0.0
Processed Iteration 350,episodic return 874.4451369618583, reward_pressure: 0.0
Processed Iteration 400,episodic return 1697.9418025672599, reward_pressure: 0.0
Processed Iteration 450,episodic return 1723.0112544751103, reward_pressure: 0.0
Processed Iteration 500,episodic return 1545.8919538751684, reward_pressure: 0.0
Processed Iteration 550,episodic return 1689.7819011436109, reward_pressure: 0.0
Processed Iteration 600,episodic return 1071.4349181487194, reward_pressure: 0.0
Processed Iteration 650,episodic return 726.5906625216703, reward_pressure: 0.0
Processed Iteration 700,episodic return 931.4992839181878, reward_pressure: 0.0
Processed Iteration 750,episodic return 948.4260793026381, reward_pressure: 0.0
Processed Iteration 800,episodic return 590.0189476946466, reward_pressure: 0.0
Processed Iteration 850,episodic return 958.9831374680009, reward_pressure: 0.0
Processed Iteration 900,episodic return 920.5173705929952, reward_pressure: 0.0
Processed Iteration 950,episodic return 926.2755755871093, reward_pressure: 0.0
Processed Iteration 1000,episodic return 633.4160875987224, reward_pressure: 0.0
Processed Iteration 1050,episodic return 869.8722772610427, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1122.9813515997819, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1182.5887201543524, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1075.5913885299788, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1143.2454587316397, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1395.1422680120118, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1365.0824239154533, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1676.762298325949, reward_pressure: 0.0
Processed Iteration 1450,episodic return 2083.7230837039965, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1615.1936237115106, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1027.0519960816296, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1604.683170192948, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1840.8146082726255, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1709.9290277155192, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1946.782962759835, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1591.8428652062298, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1971.7933850755578, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1738.7969037216872, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1367.316669855215, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1109.8323228860606, reward_pressure: 0.0
