Processed Iteration 50,episodic return -211.88780654280643, reward_pressure: 0.0
Processed Iteration 100,episodic return 77.52854166408721, reward_pressure: 0.0
Processed Iteration 150,episodic return 943.4035332280696, reward_pressure: 0.0
Processed Iteration 200,episodic return 1791.6896009213926, reward_pressure: 0.0
Processed Iteration 250,episodic return 2371.6635519086785, reward_pressure: 0.0
Processed Iteration 300,episodic return 2598.9162314193113, reward_pressure: 0.0
Processed Iteration 350,episodic return 2641.1976794461107, reward_pressure: 0.0
Processed Iteration 400,episodic return 2594.9953416099797, reward_pressure: 0.0
Processed Iteration 450,episodic return 2387.8963381811955, reward_pressure: 0.0
Processed Iteration 500,episodic return 2524.844193272554, reward_pressure: 0.0
Processed Iteration 550,episodic return 2661.1831571942585, reward_pressure: 0.0
Processed Iteration 600,episodic return 2721.155396720716, reward_pressure: 0.0
Processed Iteration 650,episodic return 2510.8435560564453, reward_pressure: 0.0
Processed Iteration 700,episodic return 2658.154808458565, reward_pressure: 0.0
Processed Iteration 750,episodic return 2504.870462269597, reward_pressure: 0.0
Processed Iteration 800,episodic return 2553.569043221463, reward_pressure: 0.0
Processed Iteration 850,episodic return 2553.2069300812186, reward_pressure: 0.0
Processed Iteration 900,episodic return 2663.3770423557203, reward_pressure: 0.0
Processed Iteration 950,episodic return 2653.815771109218, reward_pressure: 0.0
Processed Iteration 1000,episodic return 2454.0195177395867, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2440.4582936543184, reward_pressure: 0.0
Processed Iteration 1100,episodic return 2495.1380922251365, reward_pressure: 0.0
Processed Iteration 1150,episodic return 2426.1623337225146, reward_pressure: 0.0
Processed Iteration 1200,episodic return 2495.965435384633, reward_pressure: 0.0
Processed Iteration 1250,episodic return 2470.7528824297087, reward_pressure: 0.0
Processed Iteration 1300,episodic return 2432.7999940727973, reward_pressure: 0.0
Processed Iteration 1350,episodic return 2375.789600481551, reward_pressure: 0.0
Processed Iteration 1400,episodic return 2610.6222542877445, reward_pressure: 0.0
Processed Iteration 1450,episodic return 2615.08586683927, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2618.1155509903997, reward_pressure: 0.0
Processed Iteration 1550,episodic return 2506.402554527261, reward_pressure: 0.0
Processed Iteration 1600,episodic return 2404.9536616054756, reward_pressure: 0.0
Processed Iteration 1650,episodic return 2431.1384297891177, reward_pressure: 0.0
Processed Iteration 1700,episodic return 2342.6101805301055, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2415.563710584768, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2399.081491067199, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2447.49908485147, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2491.017240660056, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2411.3001276430073, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2364.4942634045688, reward_pressure: 0.0
