Processed Iteration 50,episodic return 75.76118281354614, reward_pressure: 0.0
Processed Iteration 100,episodic return 59.99172120111738, reward_pressure: 0.0
Processed Iteration 150,episodic return 61.19723901631309, reward_pressure: 0.0
Processed Iteration 200,episodic return 60.64374845817316, reward_pressure: 0.0
Processed Iteration 250,episodic return 60.42175184856669, reward_pressure: 0.0
Processed Iteration 300,episodic return 61.07783762998707, reward_pressure: 0.0
Processed Iteration 350,episodic return 56.313499211684004, reward_pressure: 0.0
Processed Iteration 400,episodic return 58.53873847660112, reward_pressure: 0.0
Processed Iteration 450,episodic return 59.28402216001378, reward_pressure: 0.0
Processed Iteration 500,episodic return 57.59398155541115, reward_pressure: 0.0
Processed Iteration 550,episodic return 60.86516909707611, reward_pressure: 0.0
Processed Iteration 600,episodic return 57.73952217493681, reward_pressure: 0.0
Processed Iteration 650,episodic return 59.790936107754206, reward_pressure: 0.0
Processed Iteration 700,episodic return 56.202537792841525, reward_pressure: 0.0
Processed Iteration 750,episodic return 53.630496254235496, reward_pressure: 0.0
Processed Iteration 800,episodic return 51.34815150310071, reward_pressure: 0.0
Processed Iteration 850,episodic return 51.248729418013916, reward_pressure: 0.0
Processed Iteration 900,episodic return 47.1964906152673, reward_pressure: 0.0
Processed Iteration 950,episodic return 49.444025422283275, reward_pressure: 0.0
Processed Iteration 1000,episodic return 49.79849675487029, reward_pressure: 0.0
Processed Iteration 1050,episodic return 50.32954831977547, reward_pressure: 0.0
Processed Iteration 1100,episodic return 51.61042410749268, reward_pressure: 0.0
Processed Iteration 1150,episodic return 52.299475524714836, reward_pressure: 0.0
Processed Iteration 1200,episodic return 48.83206501625714, reward_pressure: 0.0
Processed Iteration 1250,episodic return 48.48660646357166, reward_pressure: 0.0
Processed Iteration 1300,episodic return 51.28414710068165, reward_pressure: 0.0
Processed Iteration 1350,episodic return 51.97144927346372, reward_pressure: 0.0
Processed Iteration 1400,episodic return 53.05189822224513, reward_pressure: 0.0
Processed Iteration 1450,episodic return 53.258127222316496, reward_pressure: 0.0
Processed Iteration 1500,episodic return 54.37508665720323, reward_pressure: 0.0
Processed Iteration 1550,episodic return 56.59378283034485, reward_pressure: 0.0
Processed Iteration 1600,episodic return 52.0709882239978, reward_pressure: 0.0
Processed Iteration 1650,episodic return 55.83874140045707, reward_pressure: 0.0
Processed Iteration 1700,episodic return 59.73143143093967, reward_pressure: 0.0
Processed Iteration 1750,episodic return 56.76260527462016, reward_pressure: 0.0
Processed Iteration 1800,episodic return 66.60547823121931, reward_pressure: 0.0
Processed Iteration 1850,episodic return 56.50784368969267, reward_pressure: 0.0
Processed Iteration 1900,episodic return 52.17633254296224, reward_pressure: 0.0
Processed Iteration 1950,episodic return 53.066982409170535, reward_pressure: 0.0
Processed Iteration 2000,episodic return 54.74913446344693, reward_pressure: 0.0
