Processed Iteration 50,episodic return 80.89068617322009, reward_pressure: 0.0
Processed Iteration 100,episodic return 51.626423786028596, reward_pressure: 0.0
Processed Iteration 150,episodic return 43.319363966365735, reward_pressure: 0.0
Processed Iteration 200,episodic return 41.45366649055036, reward_pressure: 0.0
Processed Iteration 250,episodic return 42.72484608778553, reward_pressure: 0.0
Processed Iteration 300,episodic return 42.40321040888136, reward_pressure: 0.0
Processed Iteration 350,episodic return 42.305775404273454, reward_pressure: 0.0
Processed Iteration 400,episodic return 41.87396137456043, reward_pressure: 0.0
Processed Iteration 450,episodic return 41.679365505228034, reward_pressure: 0.0
Processed Iteration 500,episodic return 41.596596432538306, reward_pressure: 0.0
Processed Iteration 550,episodic return 41.22636467622556, reward_pressure: 0.0
Processed Iteration 600,episodic return 36.22823290100074, reward_pressure: 0.0
Processed Iteration 650,episodic return 35.3159735956514, reward_pressure: 0.0
Processed Iteration 700,episodic return 35.53059555442265, reward_pressure: 0.0
Processed Iteration 750,episodic return 34.591855797191755, reward_pressure: 0.0
Processed Iteration 800,episodic return 34.90333041620144, reward_pressure: 0.0
Processed Iteration 850,episodic return 34.20229232749828, reward_pressure: 0.0
Processed Iteration 900,episodic return 34.53379934645595, reward_pressure: 0.0
Processed Iteration 950,episodic return 34.49139849862584, reward_pressure: 0.0
Processed Iteration 1000,episodic return 33.26488594336722, reward_pressure: 0.0
Processed Iteration 1050,episodic return 34.31064606931189, reward_pressure: 0.0
Processed Iteration 1100,episodic return 34.64097162062096, reward_pressure: 0.0
Processed Iteration 1150,episodic return 33.92930859206023, reward_pressure: 0.0
Processed Iteration 1200,episodic return 34.30794158905979, reward_pressure: 0.0
Processed Iteration 1250,episodic return 33.58260520561691, reward_pressure: 0.0
Processed Iteration 1300,episodic return 32.011271190711405, reward_pressure: 0.0
Processed Iteration 1350,episodic return 31.82874152843158, reward_pressure: 0.0
Processed Iteration 1400,episodic return 33.7595060946635, reward_pressure: 0.0
Processed Iteration 1450,episodic return 34.406817303168125, reward_pressure: 0.0
Processed Iteration 1500,episodic return 33.90805737347467, reward_pressure: 0.0
Processed Iteration 1550,episodic return 33.572606036075975, reward_pressure: 0.0
Processed Iteration 1600,episodic return 33.37134296185493, reward_pressure: 0.0
Processed Iteration 1650,episodic return 33.56949801471357, reward_pressure: 0.0
Processed Iteration 1700,episodic return 33.20327436140511, reward_pressure: 0.0
Processed Iteration 1750,episodic return 33.53877020269419, reward_pressure: 0.0
Processed Iteration 1800,episodic return 33.186985179123496, reward_pressure: 0.0
Processed Iteration 1850,episodic return 33.35786744757774, reward_pressure: 0.0
Processed Iteration 1900,episodic return 34.07211283504249, reward_pressure: 0.0
Processed Iteration 1950,episodic return 34.10090261030021, reward_pressure: 0.0
Processed Iteration 2000,episodic return 33.03686008333225, reward_pressure: 0.0
