Processed Iteration 50,episodic return 15.54, reward_pressure: 1.0
Processed Iteration 100,episodic return 53.06, reward_pressure: 1.0
Processed Iteration 150,episodic return 139.88, reward_pressure: 1.0
Processed Iteration 200,episodic return 863.26, reward_pressure: 1.0
Processed Iteration 250,episodic return 5000.0, reward_pressure: 0.9991999999999999
Processed Iteration 300,episodic return 5000.0, reward_pressure: 0.9791999999999993
Processed Iteration 350,episodic return 5000.0, reward_pressure: 0.9592000000000006
Processed Iteration 400,episodic return 5000.0, reward_pressure: 0.9391999999999997
Processed Iteration 450,episodic return 5000.0, reward_pressure: 0.9192000000000009
Processed Iteration 500,episodic return 5000.0, reward_pressure: 0.8991999999999993
