Processed Iteration 50,episodic return 60.665172254267006, reward_pressure: 0.0
Processed Iteration 100,episodic return 45.90868935675658, reward_pressure: 0.0
Processed Iteration 150,episodic return 36.42430865532696, reward_pressure: 0.0
Processed Iteration 200,episodic return 38.060968196770254, reward_pressure: 0.0
Processed Iteration 250,episodic return 38.25281398667854, reward_pressure: 0.0
Processed Iteration 300,episodic return 46.76690188713741, reward_pressure: 0.0
Processed Iteration 350,episodic return 49.96813320987663, reward_pressure: 0.0
Processed Iteration 400,episodic return 58.689041151539435, reward_pressure: 0.0
Processed Iteration 450,episodic return 45.2749375147619, reward_pressure: 0.0
Processed Iteration 500,episodic return 50.972395434314805, reward_pressure: 0.0
Processed Iteration 550,episodic return 52.345408362007944, reward_pressure: 0.0
Processed Iteration 600,episodic return 52.52866659094916, reward_pressure: 0.0
Processed Iteration 650,episodic return 53.46069774138522, reward_pressure: 0.0
Processed Iteration 700,episodic return 48.128943332223635, reward_pressure: 0.0
Processed Iteration 750,episodic return 43.85331978890434, reward_pressure: 0.0
Processed Iteration 800,episodic return 44.3691416878955, reward_pressure: 0.0
Processed Iteration 850,episodic return 46.16704749338208, reward_pressure: 0.0
Processed Iteration 900,episodic return 44.35042899203056, reward_pressure: 0.0
Processed Iteration 950,episodic return 49.09434997852902, reward_pressure: 0.0
Processed Iteration 1000,episodic return 53.00405196445094, reward_pressure: 0.0
Processed Iteration 1050,episodic return 44.68044005234329, reward_pressure: 0.0
Processed Iteration 1100,episodic return 55.4814725170244, reward_pressure: 0.0
Processed Iteration 1150,episodic return 64.6399912087047, reward_pressure: 0.0
Processed Iteration 1200,episodic return 67.06358620121924, reward_pressure: 0.0
Processed Iteration 1250,episodic return 119.73886340940713, reward_pressure: 0.0
Processed Iteration 1300,episodic return 177.3285089217292, reward_pressure: 0.0
Processed Iteration 1350,episodic return 186.2340970618666, reward_pressure: 0.0
Processed Iteration 1400,episodic return 229.6537613907619, reward_pressure: 0.0
Processed Iteration 1450,episodic return 325.7980258942001, reward_pressure: 0.0
Processed Iteration 1500,episodic return 328.66864818245347, reward_pressure: 0.0
Processed Iteration 1550,episodic return 461.1835756105419, reward_pressure: 0.0
Processed Iteration 1600,episodic return 451.2699791115473, reward_pressure: 0.0
Processed Iteration 1650,episodic return 459.371648275605, reward_pressure: 0.0
Processed Iteration 1700,episodic return 380.19509095461285, reward_pressure: 0.0
Processed Iteration 1750,episodic return 417.23727915139585, reward_pressure: 0.0
Processed Iteration 1800,episodic return 374.6217205458644, reward_pressure: 0.0
Processed Iteration 1850,episodic return 351.4171396587652, reward_pressure: 0.0
Processed Iteration 1900,episodic return 403.3110698708985, reward_pressure: 0.0
Processed Iteration 1950,episodic return 361.75025581480514, reward_pressure: 0.0
Processed Iteration 2000,episodic return 333.20041644905706, reward_pressure: 0.0
