Processed Iteration 50,episodic return 22.617807313539608, reward_pressure: 0.0
Processed Iteration 100,episodic return 3.709406301023202, reward_pressure: 0.0
Processed Iteration 150,episodic return 3.064083934566849, reward_pressure: 0.0
Processed Iteration 200,episodic return 3.1345138339406997, reward_pressure: 0.0
Processed Iteration 250,episodic return 3.0079938452388233, reward_pressure: 0.0
Processed Iteration 300,episodic return 3.7107827286958184, reward_pressure: 0.0
Processed Iteration 350,episodic return 4.1727529233366525, reward_pressure: 0.0
Processed Iteration 400,episodic return 4.2240576913979355, reward_pressure: 0.0
Processed Iteration 450,episodic return 3.323985072724052, reward_pressure: 0.0
Processed Iteration 500,episodic return 3.048763266006374, reward_pressure: 0.0
Processed Iteration 550,episodic return 2.9109520469689802, reward_pressure: 0.0
Processed Iteration 600,episodic return 2.864168449773368, reward_pressure: 0.0
Processed Iteration 650,episodic return 2.756379133585479, reward_pressure: 0.0
Processed Iteration 700,episodic return 2.61281622576486, reward_pressure: 0.0
Processed Iteration 750,episodic return 2.6839874447219585, reward_pressure: 0.0
Processed Iteration 800,episodic return 2.6577384225336753, reward_pressure: 0.0
Processed Iteration 850,episodic return 2.7213184659787752, reward_pressure: 0.0
Processed Iteration 900,episodic return 3.091423815359269, reward_pressure: 0.0
Processed Iteration 950,episodic return 3.394869160513162, reward_pressure: 0.0
Processed Iteration 1000,episodic return 3.2364553202017077, reward_pressure: 0.0
Processed Iteration 1050,episodic return 3.022621028862328, reward_pressure: 0.0
Processed Iteration 1100,episodic return 3.1842233718930015, reward_pressure: 0.0
Processed Iteration 1150,episodic return 3.531572084271503, reward_pressure: 0.0
Processed Iteration 1200,episodic return 3.481390138659151, reward_pressure: 0.0
Processed Iteration 1250,episodic return 3.2125256591865763, reward_pressure: 0.0
Processed Iteration 1300,episodic return 3.2667447766401465, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3.1951820290975235, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3.3490661012716383, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3.379664841876726, reward_pressure: 0.0
Processed Iteration 1500,episodic return 3.1895920729517373, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3.3896145278207377, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3.45697407088407, reward_pressure: 0.0
Processed Iteration 1650,episodic return 3.1912556915477275, reward_pressure: 0.0
Processed Iteration 1700,episodic return 3.264526653237999, reward_pressure: 0.0
Processed Iteration 1750,episodic return 3.038358479179584, reward_pressure: 0.0
Processed Iteration 1800,episodic return 3.0666978506349505, reward_pressure: 0.0
Processed Iteration 1850,episodic return 3.058721334591019, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2.985686079381062, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2.9170454334834743, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3.068309915855743, reward_pressure: 0.0
