Processed Iteration 50,episodic return -88.62534712969438, reward_pressure: 0.0
Processed Iteration 100,episodic return 418.37517734200793, reward_pressure: 0.0
Processed Iteration 150,episodic return 575.8551735804789, reward_pressure: 0.0
Processed Iteration 200,episodic return 1006.7245412914406, reward_pressure: 0.0
Processed Iteration 250,episodic return 1072.3282776979438, reward_pressure: 0.0
Processed Iteration 300,episodic return 1133.6828142405338, reward_pressure: 0.0
Processed Iteration 350,episodic return 973.4747150275975, reward_pressure: 0.0
Processed Iteration 400,episodic return 1423.4903621032618, reward_pressure: 0.0
Processed Iteration 450,episodic return 1523.8111576099955, reward_pressure: 0.0
Processed Iteration 500,episodic return 1700.266208095351, reward_pressure: 0.0
Processed Iteration 550,episodic return 1518.6710191145114, reward_pressure: 0.0
Processed Iteration 600,episodic return 1585.6480200009494, reward_pressure: 0.0
Processed Iteration 650,episodic return 1729.672897828545, reward_pressure: 0.0
Processed Iteration 700,episodic return 1875.8332424389653, reward_pressure: 0.0
Processed Iteration 750,episodic return 1785.7783062492329, reward_pressure: 0.0
Processed Iteration 800,episodic return 1881.2733585729702, reward_pressure: 0.0
Processed Iteration 850,episodic return 1860.1676648130308, reward_pressure: 0.0
Processed Iteration 900,episodic return 1854.6057988817088, reward_pressure: 0.0
Processed Iteration 950,episodic return 1886.9397477840594, reward_pressure: 0.0
Processed Iteration 1000,episodic return 2021.2827231827678, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1840.3468404227633, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1901.360760016326, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1981.4181730796183, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1788.0801051683948, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1874.627921883499, reward_pressure: 0.0
Processed Iteration 1300,episodic return 2087.5603387419133, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1794.8405491609506, reward_pressure: 0.0
Processed Iteration 1400,episodic return 2019.0378188596392, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1957.4736309942798, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2221.124355008169, reward_pressure: 0.0
Processed Iteration 1550,episodic return 2001.746680312608, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1829.4574406910847, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1990.1553336772454, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1744.2698454584772, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2052.518854263872, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1972.6991820491198, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1880.5874822868896, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1668.1740483856288, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1806.5985562903481, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1893.6025264364414, reward_pressure: 0.0
