Processed Iteration 50,episodic return -252.70650532312928, reward_pressure: 0.0
Processed Iteration 100,episodic return 134.45564960037183, reward_pressure: 0.0
Processed Iteration 150,episodic return 1325.8983136598806, reward_pressure: 0.0
Processed Iteration 200,episodic return 2263.7198669825343, reward_pressure: 0.0
Processed Iteration 250,episodic return 2757.6102860377455, reward_pressure: 0.0
Processed Iteration 300,episodic return 3189.891058570838, reward_pressure: 0.0
Processed Iteration 350,episodic return 3308.2841958830604, reward_pressure: 0.0
Processed Iteration 400,episodic return 3373.880661996051, reward_pressure: 0.0
Processed Iteration 450,episodic return 3331.484400518993, reward_pressure: 0.0
Processed Iteration 500,episodic return 3442.297811145274, reward_pressure: 0.0
Processed Iteration 550,episodic return 3399.4941706720156, reward_pressure: 0.0
Processed Iteration 600,episodic return 3399.5117917928014, reward_pressure: 0.0
Processed Iteration 650,episodic return 3396.9066749111357, reward_pressure: 0.0
Processed Iteration 700,episodic return 3323.980469611882, reward_pressure: 0.0
Processed Iteration 750,episodic return 3464.3688095153457, reward_pressure: 0.0
Processed Iteration 800,episodic return 3404.248278797172, reward_pressure: 0.0
Processed Iteration 850,episodic return 3415.160420908817, reward_pressure: 0.0
Processed Iteration 900,episodic return 3460.014060381822, reward_pressure: 0.0
Processed Iteration 950,episodic return 3475.315078310458, reward_pressure: 0.0
Processed Iteration 1000,episodic return 3635.4854214782736, reward_pressure: 0.0
Processed Iteration 1050,episodic return 3539.7484026075185, reward_pressure: 0.0
Processed Iteration 1100,episodic return 3624.0495364560197, reward_pressure: 0.0
Processed Iteration 1150,episodic return 3526.843513987626, reward_pressure: 0.0
Processed Iteration 1200,episodic return 3447.9037852404595, reward_pressure: 0.0
Processed Iteration 1250,episodic return 3636.5608205164012, reward_pressure: 0.0
Processed Iteration 1300,episodic return 3586.250354054124, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3569.9676449280582, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3607.0849474992992, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3590.1222925690345, reward_pressure: 0.0
Processed Iteration 1500,episodic return 3559.1041831449747, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3571.4681808631994, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3525.148351705758, reward_pressure: 0.0
Processed Iteration 1650,episodic return 3547.745492893044, reward_pressure: 0.0
Processed Iteration 1700,episodic return 3603.0606680199617, reward_pressure: 0.0
Processed Iteration 1750,episodic return 3618.665951110553, reward_pressure: 0.0
Processed Iteration 1800,episodic return 3533.092084297603, reward_pressure: 0.0
Processed Iteration 1850,episodic return 3585.639463723134, reward_pressure: 0.0
Processed Iteration 1900,episodic return 3534.3098978723447, reward_pressure: 0.0
Processed Iteration 1950,episodic return 3525.0122583170137, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3511.5502524831845, reward_pressure: 0.0
