Processed Iteration 50,episodic return -216.15465693232335, reward_pressure: 0.0
Processed Iteration 100,episodic return 409.6819683819652, reward_pressure: 0.0
Processed Iteration 150,episodic return 860.9443068354553, reward_pressure: 0.0
Processed Iteration 200,episodic return 1331.377496139243, reward_pressure: 0.0
Processed Iteration 250,episodic return 2871.669418734873, reward_pressure: 0.0
Processed Iteration 300,episodic return 3641.557930500428, reward_pressure: 0.0
Processed Iteration 350,episodic return 3778.2929585529873, reward_pressure: 0.0
Processed Iteration 400,episodic return 3975.2269986114784, reward_pressure: 0.0
Processed Iteration 450,episodic return 3951.127579720155, reward_pressure: 0.0
Processed Iteration 500,episodic return 3937.412552628273, reward_pressure: 0.0
Processed Iteration 550,episodic return 4029.132707870561, reward_pressure: 0.0
Processed Iteration 600,episodic return 3833.770930395549, reward_pressure: 0.0
Processed Iteration 650,episodic return 4096.714448018371, reward_pressure: 0.0
Processed Iteration 700,episodic return 4127.648891180545, reward_pressure: 0.0
Processed Iteration 750,episodic return 3959.3187124103824, reward_pressure: 0.0
Processed Iteration 800,episodic return 4171.385916589468, reward_pressure: 0.0
Processed Iteration 850,episodic return 4064.070436750032, reward_pressure: 0.0
Processed Iteration 900,episodic return 4112.215934411173, reward_pressure: 0.0
Processed Iteration 950,episodic return 4159.106994119751, reward_pressure: 0.0
Processed Iteration 1000,episodic return 4168.801691135955, reward_pressure: 0.0
Processed Iteration 1050,episodic return 4127.672134545531, reward_pressure: 0.0
Processed Iteration 1100,episodic return 4176.351072568037, reward_pressure: 0.0
Processed Iteration 1150,episodic return 4290.311041320594, reward_pressure: 0.0
Processed Iteration 1200,episodic return 4332.376455146391, reward_pressure: 0.0
Processed Iteration 1250,episodic return 4322.389063705424, reward_pressure: 0.0
Processed Iteration 1300,episodic return 4468.454678732469, reward_pressure: 0.0
Processed Iteration 1350,episodic return 4381.913333647274, reward_pressure: 0.0
Processed Iteration 1400,episodic return 4341.56970150412, reward_pressure: 0.0
Processed Iteration 1450,episodic return 4341.2178156785885, reward_pressure: 0.0
Processed Iteration 1500,episodic return 4360.72104576416, reward_pressure: 0.0
Processed Iteration 1550,episodic return 4548.400211478794, reward_pressure: 0.0
Processed Iteration 1600,episodic return 4602.063301008635, reward_pressure: 0.0
Processed Iteration 1650,episodic return 4577.23865042995, reward_pressure: 0.0
Processed Iteration 1700,episodic return 4570.303644967735, reward_pressure: 0.0
Processed Iteration 1750,episodic return 4608.9864799057195, reward_pressure: 0.0
Processed Iteration 1800,episodic return 4472.102141948733, reward_pressure: 0.0
Processed Iteration 1850,episodic return 4597.678323897509, reward_pressure: 0.0
Processed Iteration 1900,episodic return 4623.5298378220505, reward_pressure: 0.0
Processed Iteration 1950,episodic return 4631.478427373789, reward_pressure: 0.0
Processed Iteration 2000,episodic return 4543.1318060080075, reward_pressure: 0.0
