Processed Iteration 50,episodic return -362.93172512309167, reward_pressure: 0.0
Processed Iteration 100,episodic return -805.9822294195177, reward_pressure: 0.0
Processed Iteration 150,episodic return -1095.2328563659396, reward_pressure: 0.0
Processed Iteration 200,episodic return -1137.7528428010044, reward_pressure: 0.0
Processed Iteration 250,episodic return -1283.872766066061, reward_pressure: 0.0
Processed Iteration 300,episodic return -1369.2006346709777, reward_pressure: 0.0
Processed Iteration 350,episodic return -1387.9958558826904, reward_pressure: 0.0
Processed Iteration 400,episodic return -1545.1822918346186, reward_pressure: 0.0
Processed Iteration 450,episodic return -1826.13645811166, reward_pressure: 0.0
Processed Iteration 500,episodic return -1816.142232966646, reward_pressure: 0.0
Processed Iteration 550,episodic return -1683.6971868012429, reward_pressure: 0.0
Processed Iteration 600,episodic return -2028.374711395343, reward_pressure: 0.0
Processed Iteration 650,episodic return -1970.3509298592005, reward_pressure: 0.0
Processed Iteration 700,episodic return -1593.9879844374927, reward_pressure: 0.0
Processed Iteration 750,episodic return -1834.0160255507324, reward_pressure: 0.0
Processed Iteration 800,episodic return -1760.7596330235194, reward_pressure: 0.0
Processed Iteration 850,episodic return -1900.7397980388882, reward_pressure: 0.0
Processed Iteration 900,episodic return -2155.7929556938225, reward_pressure: 0.0
Processed Iteration 950,episodic return -1818.0346199607548, reward_pressure: 0.0
Processed Iteration 1000,episodic return -2197.74074407224, reward_pressure: 0.0
Processed Iteration 1050,episodic return -2070.6825850541163, reward_pressure: 0.0
Processed Iteration 1100,episodic return -2080.452265576462, reward_pressure: 0.0
Processed Iteration 1150,episodic return -1912.0193726685582, reward_pressure: 0.0
Processed Iteration 1200,episodic return -2033.1716011027645, reward_pressure: 0.0
Processed Iteration 1250,episodic return -2071.563329376194, reward_pressure: 0.0
Processed Iteration 1300,episodic return -2161.520515021207, reward_pressure: 0.0
Processed Iteration 1350,episodic return -2102.254727740653, reward_pressure: 0.0
Processed Iteration 1400,episodic return -2203.941565556006, reward_pressure: 0.0
Processed Iteration 1450,episodic return -1964.361849065359, reward_pressure: 0.0
Processed Iteration 1500,episodic return -1758.9757602263026, reward_pressure: 0.0
Processed Iteration 1550,episodic return -1745.1160553989307, reward_pressure: 0.0
Processed Iteration 1600,episodic return -2130.1050270579854, reward_pressure: 0.0
Processed Iteration 1650,episodic return -1938.968728278679, reward_pressure: 0.0
Processed Iteration 1700,episodic return -1865.693472404542, reward_pressure: 0.0
Processed Iteration 1750,episodic return -1991.2125409833634, reward_pressure: 0.0
Processed Iteration 1800,episodic return -1772.8806245971118, reward_pressure: 0.0
Processed Iteration 1850,episodic return -1900.6320144873707, reward_pressure: 0.0
Processed Iteration 1900,episodic return -1707.0065675314313, reward_pressure: 0.0
Processed Iteration 1950,episodic return -2033.0774172328292, reward_pressure: 0.0
Processed Iteration 2000,episodic return -1979.369537180059, reward_pressure: 0.0
