Processed Iteration 50,episodic return 132.59270687731924, reward_pressure: 1.0
Processed Iteration 100,episodic return 347.16240397096453, reward_pressure: 1.0
Processed Iteration 150,episodic return 921.8501513490534, reward_pressure: 0.9970000000000002
Processed Iteration 200,episodic return 1054.555048011585, reward_pressure: 1.0
Processed Iteration 250,episodic return 1053.3468010289703, reward_pressure: 0.9500000000000006
Processed Iteration 300,episodic return 1059.6589715252176, reward_pressure: 0.9480000000000007
Processed Iteration 350,episodic return 1055.5359245656184, reward_pressure: 0.9019999999999991
Processed Iteration 400,episodic return 1062.1502533204032, reward_pressure: 0.8520000000000008
Processed Iteration 450,episodic return 1069.1075068670825, reward_pressure: 0.8019999999999997
Processed Iteration 500,episodic return 1073.9357976669185, reward_pressure: 0.7519999999999999
Processed Iteration 550,episodic return 1079.123043728144, reward_pressure: 0.7019999999999997
Processed Iteration 600,episodic return 1075.7254532300146, reward_pressure: 0.6929999999999995
Processed Iteration 650,episodic return 1081.986802645828, reward_pressure: 0.6589999999999994
Processed Iteration 700,episodic return 1080.4964325565018, reward_pressure: 0.6090000000000004
Processed Iteration 750,episodic return 1064.9280905188255, reward_pressure: 0.5589999999999999
Processed Iteration 800,episodic return 1033.6412593811199, reward_pressure: 0.5089999999999999
Processed Iteration 850,episodic return 1055.9686754336615, reward_pressure: 0.45899999999999935
Processed Iteration 900,episodic return 1057.8156227842117, reward_pressure: 0.40899999999999964
Processed Iteration 950,episodic return 1050.726935542883, reward_pressure: 0.35899999999999976
Processed Iteration 1000,episodic return 1035.6872406754392, reward_pressure: 0.30899999999999933
Processed Iteration 1050,episodic return 1042.5046841332328, reward_pressure: 0.2589999999999999
Processed Iteration 1100,episodic return 1032.9873662839868, reward_pressure: 0.2089999999999994
Processed Iteration 1150,episodic return 1035.784567107856, reward_pressure: 0.15899999999999953
Processed Iteration 1200,episodic return 1075.731393071479, reward_pressure: 0.1329999999999996
Processed Iteration 1250,episodic return 1051.0652523609147, reward_pressure: 0.18899999999999967
Processed Iteration 1300,episodic return 1054.043357927204, reward_pressure: 0.13899999999999957
Processed Iteration 1350,episodic return 1068.971035726665, reward_pressure: 0.09899999999999967
Processed Iteration 1400,episodic return 1120.9131354892272, reward_pressure: 0.18999999999999984
Processed Iteration 1450,episodic return 1183.1510392057394, reward_pressure: 0.24299999999999977
Processed Iteration 1500,episodic return 1216.3875123514197, reward_pressure: 0.23499999999999965
Processed Iteration 1550,episodic return 1173.4019685196838, reward_pressure: 0.2749999999999995
Processed Iteration 1600,episodic return 1146.7117571746876, reward_pressure: 0.4169999999999995
Processed Iteration 1650,episodic return 1230.2148911222566, reward_pressure: 0.4169999999999996
Processed Iteration 1700,episodic return 1289.471178466651, reward_pressure: 0.36699999999999977
Processed Iteration 1750,episodic return 1201.5277739757262, reward_pressure: 0.3169999999999993
Processed Iteration 1800,episodic return 1197.303940342041, reward_pressure: 0.2669999999999999
Processed Iteration 1850,episodic return 1134.8957349958594, reward_pressure: 0.2169999999999994
Processed Iteration 1900,episodic return 1078.6583448934098, reward_pressure: 0.1669999999999996
Processed Iteration 1950,episodic return 1128.6186050954734, reward_pressure: 0.13799999999999957
Processed Iteration 2000,episodic return 1261.5251985764269, reward_pressure: 0.1819999999999995
