Processed Iteration 50,episodic return 19.44, reward_pressure: 1.0
Processed Iteration 100,episodic return 70.7, reward_pressure: 1.0
Processed Iteration 150,episodic return 253.66, reward_pressure: 1.0
Processed Iteration 200,episodic return 4607.82, reward_pressure: 1.0
Processed Iteration 250,episodic return 10000.0, reward_pressure: 0.981000000000001
Processed Iteration 300,episodic return 10000.0, reward_pressure: 0.9309999999999993
Processed Iteration 350,episodic return 10000.0, reward_pressure: 0.8810000000000002
Processed Iteration 400,episodic return 10000.0, reward_pressure: 0.8309999999999996
Processed Iteration 450,episodic return 10000.0, reward_pressure: 0.7810000000000002
Processed Iteration 500,episodic return 10000.0, reward_pressure: 0.7310000000000001
