Processed Iteration 50,episodic return -0.6169162881450931, reward_pressure: 0.0
Processed Iteration 100,episodic return -1.3697279730531167, reward_pressure: 0.0
Processed Iteration 150,episodic return -1.5897733873865751, reward_pressure: 0.0
Processed Iteration 200,episodic return -2.832285879997471, reward_pressure: 0.0
Processed Iteration 250,episodic return -7.350111801803988, reward_pressure: 0.0
Processed Iteration 300,episodic return -5.308247425573175, reward_pressure: 0.0
Processed Iteration 350,episodic return -5.950984805498064, reward_pressure: 0.0
Processed Iteration 400,episodic return -5.909054435565611, reward_pressure: 0.0
Processed Iteration 450,episodic return -6.676884363748127, reward_pressure: 0.0
Processed Iteration 500,episodic return -5.79412086159616, reward_pressure: 0.0
Processed Iteration 550,episodic return 8.083043902938575, reward_pressure: 0.0
Processed Iteration 600,episodic return 7.849212356691051, reward_pressure: 0.0
Processed Iteration 650,episodic return 135.33530116719032, reward_pressure: 0.0
Processed Iteration 700,episodic return 384.6794556963718, reward_pressure: 0.0
Processed Iteration 750,episodic return 451.499465755615, reward_pressure: 0.0
Processed Iteration 800,episodic return 487.5817527965868, reward_pressure: 0.0
Processed Iteration 850,episodic return 692.332467264841, reward_pressure: 0.0
Processed Iteration 900,episodic return 804.720252109491, reward_pressure: 0.0
Processed Iteration 950,episodic return 767.4632115288346, reward_pressure: 0.0
Processed Iteration 1000,episodic return 908.8923254165674, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1107.1076965825966, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1153.6849545488594, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1142.9252278248757, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1227.6489709437487, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1219.5060311945956, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1318.8208031341499, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1155.8766866216572, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1211.109245416218, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1312.6324981367197, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1208.1208171246935, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1260.999861527815, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1234.2827356351333, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1303.703659957735, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1232.302946659453, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1333.2004291613623, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1248.4235261948018, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1297.934389820045, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1247.6340757518062, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1211.9301226375255, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1347.631189995761, reward_pressure: 0.0
