Processed Iteration 50,episodic return 61.73457269345713, reward_pressure: 0.0
Processed Iteration 100,episodic return 42.59248003376411, reward_pressure: 0.0
Processed Iteration 150,episodic return 42.19389551103891, reward_pressure: 0.0
Processed Iteration 200,episodic return 42.14246165294122, reward_pressure: 0.0
Processed Iteration 250,episodic return 40.89187111568092, reward_pressure: 0.0
Processed Iteration 300,episodic return 40.980810500577405, reward_pressure: 0.0
Processed Iteration 350,episodic return 41.70796895275434, reward_pressure: 0.0
Processed Iteration 400,episodic return 38.57630430144529, reward_pressure: 0.0
Processed Iteration 450,episodic return 33.50288596116717, reward_pressure: 0.0
Processed Iteration 500,episodic return 33.829833163485404, reward_pressure: 0.0
Processed Iteration 550,episodic return 32.78428696131536, reward_pressure: 0.0
Processed Iteration 600,episodic return 31.533405860472786, reward_pressure: 0.0
Processed Iteration 650,episodic return 31.35528704088598, reward_pressure: 0.0
Processed Iteration 700,episodic return 32.06717556856316, reward_pressure: 0.0
Processed Iteration 750,episodic return 32.407577907954376, reward_pressure: 0.0
Processed Iteration 800,episodic return 31.87429996081612, reward_pressure: 0.0
Processed Iteration 850,episodic return 32.02953784112905, reward_pressure: 0.0
Processed Iteration 900,episodic return 32.054030362140026, reward_pressure: 0.0
Processed Iteration 950,episodic return 32.21782412419201, reward_pressure: 0.0
Processed Iteration 1000,episodic return 32.738127699288015, reward_pressure: 0.0
Processed Iteration 1050,episodic return 33.25785990644586, reward_pressure: 0.0
Processed Iteration 1100,episodic return 32.019278581733346, reward_pressure: 0.0
Processed Iteration 1150,episodic return 30.615568969464825, reward_pressure: 0.0
Processed Iteration 1200,episodic return 31.877096506774805, reward_pressure: 0.0
Processed Iteration 1250,episodic return 31.861749686373077, reward_pressure: 0.0
Processed Iteration 1300,episodic return 33.276847927723715, reward_pressure: 0.0
Processed Iteration 1350,episodic return 32.77012350316673, reward_pressure: 0.0
Processed Iteration 1400,episodic return 33.81201410792956, reward_pressure: 0.0
Processed Iteration 1450,episodic return 32.217313732092705, reward_pressure: 0.0
Processed Iteration 1500,episodic return 34.28561565153184, reward_pressure: 0.0
Processed Iteration 1550,episodic return 33.88495757208763, reward_pressure: 0.0
Processed Iteration 1600,episodic return 32.83674447974447, reward_pressure: 0.0
Processed Iteration 1650,episodic return 32.50898491606988, reward_pressure: 0.0
Processed Iteration 1700,episodic return 31.630003916168807, reward_pressure: 0.0
Processed Iteration 1750,episodic return 32.51812352451828, reward_pressure: 0.0
Processed Iteration 1800,episodic return 33.72189482097731, reward_pressure: 0.0
Processed Iteration 1850,episodic return 32.67434541971469, reward_pressure: 0.0
Processed Iteration 1900,episodic return 34.07230312686758, reward_pressure: 0.0
Processed Iteration 1950,episodic return 33.72517354710079, reward_pressure: 0.0
Processed Iteration 2000,episodic return 33.58130337965653, reward_pressure: 0.0
