Processed Iteration 50,episodic return 44.33245549557746, reward_pressure: 0.0
Processed Iteration 100,episodic return 8.968465352023363, reward_pressure: 0.0
Processed Iteration 150,episodic return 5.899509714744762, reward_pressure: 0.0
Processed Iteration 200,episodic return 1.9273458258465075, reward_pressure: 0.0
Processed Iteration 250,episodic return 0.3571848507461369, reward_pressure: 0.0
Processed Iteration 300,episodic return -1.1474035950702282, reward_pressure: 0.0
Processed Iteration 350,episodic return -1.1813590223203942, reward_pressure: 0.0
Processed Iteration 400,episodic return 0.012339434238684723, reward_pressure: 0.0
Processed Iteration 450,episodic return 1.8131376507385277, reward_pressure: 0.0
Processed Iteration 500,episodic return 0.6163479571133831, reward_pressure: 0.0
Processed Iteration 550,episodic return 0.20394624469077463, reward_pressure: 0.0
Processed Iteration 600,episodic return -0.14096410988413563, reward_pressure: 0.0
Processed Iteration 650,episodic return -0.19843028104764862, reward_pressure: 0.0
Processed Iteration 700,episodic return -0.17109402540520505, reward_pressure: 0.0
Processed Iteration 750,episodic return -0.5920888598733318, reward_pressure: 0.0
Processed Iteration 800,episodic return -0.15771384340829883, reward_pressure: 0.0
Processed Iteration 850,episodic return 0.7930417998401407, reward_pressure: 0.0
Processed Iteration 900,episodic return -0.026120732809384598, reward_pressure: 0.0
Processed Iteration 950,episodic return -1.1270327676780558, reward_pressure: 0.0
Processed Iteration 1000,episodic return -1.2315326929596158, reward_pressure: 0.0
Processed Iteration 1050,episodic return -1.3657855456978363, reward_pressure: 0.0
Processed Iteration 1100,episodic return -1.3868631154427122, reward_pressure: 0.0
Processed Iteration 1150,episodic return -1.4204312045220737, reward_pressure: 0.0
Processed Iteration 1200,episodic return -1.3386800626522193, reward_pressure: 0.0
Processed Iteration 1250,episodic return -1.3584976988245077, reward_pressure: 0.0
Processed Iteration 1300,episodic return 0.8017394851788708, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3.8221979379744204, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3.935321454495176, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3.742281125049401, reward_pressure: 0.0
Processed Iteration 1500,episodic return 3.589077945104868, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3.636441897126586, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3.8381698565108078, reward_pressure: 0.0
Processed Iteration 1650,episodic return 4.207511830979198, reward_pressure: 0.0
Processed Iteration 1700,episodic return 5.672719413445357, reward_pressure: 0.0
Processed Iteration 1750,episodic return 6.074569070686098, reward_pressure: 0.0
Processed Iteration 1800,episodic return 7.238100162543356, reward_pressure: 0.0
Processed Iteration 1850,episodic return 7.020928139084012, reward_pressure: 0.0
Processed Iteration 1900,episodic return 8.014804997744058, reward_pressure: 0.0
Processed Iteration 1950,episodic return 6.922209134427927, reward_pressure: 0.0
Processed Iteration 2000,episodic return 7.415028678293836, reward_pressure: 0.0
Processed Iteration 2050,episodic return 19.20043495511279, reward_pressure: 0.0
Processed Iteration 2100,episodic return 25.442298597701296, reward_pressure: 0.0
Processed Iteration 2150,episodic return 102.41620070253678, reward_pressure: 0.0
Processed Iteration 2200,episodic return 247.4647546136721, reward_pressure: 0.0
Processed Iteration 2250,episodic return 344.7463882510168, reward_pressure: 0.0
Processed Iteration 2300,episodic return 389.68675718627344, reward_pressure: 0.0
Processed Iteration 2350,episodic return 409.8416780418089, reward_pressure: 0.0
Processed Iteration 2400,episodic return 483.4168781249367, reward_pressure: 0.0
Processed Iteration 2450,episodic return 632.336637804474, reward_pressure: 0.0
Processed Iteration 2500,episodic return 821.9606852048158, reward_pressure: 0.0
Processed Iteration 2550,episodic return 800.997956737612, reward_pressure: 0.0
Processed Iteration 2600,episodic return 746.4209246800215, reward_pressure: 0.0
Processed Iteration 2650,episodic return 866.9281847175922, reward_pressure: 0.0
Processed Iteration 2700,episodic return 988.8847308487013, reward_pressure: 0.0
Processed Iteration 2750,episodic return 1134.6574454635747, reward_pressure: 0.0
Processed Iteration 2800,episodic return 1367.1328951823352, reward_pressure: 0.0
Processed Iteration 2850,episodic return 1198.0474790995781, reward_pressure: 0.0
Processed Iteration 2900,episodic return 1102.2895466473062, reward_pressure: 0.0
Processed Iteration 2950,episodic return 1020.2670395112671, reward_pressure: 0.0
Processed Iteration 3000,episodic return 1268.8212861459515, reward_pressure: 0.0
