Processed Iteration 50,episodic return 92.27012650771252, reward_pressure: 0.0
Processed Iteration 100,episodic return 205.25792796162526, reward_pressure: 0.0
Processed Iteration 150,episodic return 284.97506995214695, reward_pressure: 0.0
Processed Iteration 200,episodic return 377.71861102574206, reward_pressure: 0.0
Processed Iteration 250,episodic return 399.10107358519855, reward_pressure: 0.0
Processed Iteration 300,episodic return 393.06403070140937, reward_pressure: 0.0
Processed Iteration 350,episodic return 410.41913382698425, reward_pressure: 0.0
Processed Iteration 400,episodic return 530.8705680557463, reward_pressure: 0.0
Processed Iteration 450,episodic return 768.8549965108989, reward_pressure: 0.0
Processed Iteration 500,episodic return 1120.9589090813995, reward_pressure: 0.0
Processed Iteration 550,episodic return 1286.465810890878, reward_pressure: 0.0
Processed Iteration 600,episodic return 1177.268942179395, reward_pressure: 0.0
Processed Iteration 650,episodic return 1226.490147857987, reward_pressure: 0.0
Processed Iteration 700,episodic return 1578.2263708559037, reward_pressure: 0.0
Processed Iteration 750,episodic return 1628.2428861537285, reward_pressure: 0.0
Processed Iteration 800,episodic return 1558.9307891351934, reward_pressure: 0.0
Processed Iteration 850,episodic return 1573.0111322609634, reward_pressure: 0.0
Processed Iteration 900,episodic return 1601.3961982016988, reward_pressure: 0.0
Processed Iteration 950,episodic return 1641.8151547782356, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1645.9965728778725, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1651.3435708458844, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1433.2229528104979, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1327.0263301000139, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1244.1086394533747, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1441.9415751614963, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1405.5550169435955, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1384.8332972442079, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1352.0902097925955, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1453.0482938298355, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1394.665694133024, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1599.6556668785918, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1516.67478527822, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1673.7590136148938, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1628.4221762470695, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1488.627000365816, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1533.0561570317745, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1576.6723839611734, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1650.8019577952118, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1821.5701553134695, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1879.6518925320393, reward_pressure: 0.0
